"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Brazoria County, Texas",""
"    Number",""
"        Estimate","124,184"
"    Percent Distribution",""
"        Estimate","124,184"
"    Median income (dollars)",""
"        Estimate","83,325"
"Brazos County, Texas",""
"    Number",""
"        Estimate","81,514"
"    Percent Distribution",""
"        Estimate","81,514"
"    Median income (dollars)",""
"        Estimate","50,289"
"Brewster County, Texas",""
"    Number",""
"        Estimate","4,292"
"    Percent Distribution",""
"        Estimate","4,292"
"    Median income (dollars)",""
"        Estimate","45,296"
"Briscoe County, Texas",""
"    Number",""
"        Estimate","588"
"    Percent Distribution",""
"        Estimate","588"
"    Median income (dollars)",""
"        Estimate","37,875"
"Brooks County, Texas",""
"    Number",""
"        Estimate","2,475"
"    Percent Distribution",""
"        Estimate","2,475"
"    Median income (dollars)",""
"        Estimate","25,058"
"Brown County, Texas",""
"    Number",""
"        Estimate","14,614"
"    Percent Distribution",""
"        Estimate","14,614"
"    Median income (dollars)",""
"        Estimate","49,180"
"Burleson County, Texas",""
"    Number",""
"        Estimate","6,931"
"    Percent Distribution",""
"        Estimate","6,931"
"    Median income (dollars)",""
"        Estimate","60,058"
"Burnet County, Texas",""
"    Number",""
"        Estimate","17,384"
"    Percent Distribution",""
"        Estimate","17,384"
"    Median income (dollars)",""
"        Estimate","59,919"
"Caldwell County, Texas",""
"    Number",""
"        Estimate","13,774"
"    Percent Distribution",""
"        Estimate","13,774"
"    Median income (dollars)",""
"        Estimate","59,846"
"Calhoun County, Texas",""
"    Number",""
"        Estimate","8,027"
"    Percent Distribution",""
"        Estimate","8,027"
"    Median income (dollars)",""
"        Estimate","57,170"
"Callahan County, Texas",""
"    Number",""
"        Estimate","5,372"
"    Percent Distribution",""
"        Estimate","5,372"
"    Median income (dollars)",""
"        Estimate","51,955"
"Cameron County, Texas",""
"    Number",""
"        Estimate","126,968"
"    Percent Distribution",""
"        Estimate","126,968"
"    Median income (dollars)",""
"        Estimate","41,200"
"Camp County, Texas",""
"    Number",""
"        Estimate","4,460"
"    Percent Distribution",""
"        Estimate","4,460"
"    Median income (dollars)",""
"        Estimate","49,539"
"Carson County, Texas",""
"    Number",""
"        Estimate","2,332"
"    Percent Distribution",""
"        Estimate","2,332"
"    Median income (dollars)",""
"        Estimate","74,246"
"Cass County, Texas",""
"    Number",""
"        Estimate","11,962"
"    Percent Distribution",""
"        Estimate","11,962"
"    Median income (dollars)",""
"        Estimate","47,539"
"Castro County, Texas",""
"    Number",""
"        Estimate","2,557"
"    Percent Distribution",""
"        Estimate","2,557"
"    Median income (dollars)",""
"        Estimate","49,900"
"Chambers County, Texas",""
"    Number",""
"        Estimate","14,266"
"    Percent Distribution",""
"        Estimate","14,266"
"    Median income (dollars)",""
"        Estimate","95,989"
"Cherokee County, Texas",""
"    Number",""
"        Estimate","18,540"
"    Percent Distribution",""
"        Estimate","18,540"
"    Median income (dollars)",""
"        Estimate","50,199"
"Childress County, Texas",""
"    Number",""
"        Estimate","2,308"
"    Percent Distribution",""
"        Estimate","2,308"
"    Median income (dollars)",""
"        Estimate","43,564"
"Clay County, Texas",""
"    Number",""
"        Estimate","4,159"
"    Percent Distribution",""
"        Estimate","4,159"
"    Median income (dollars)",""
"        Estimate","63,125"
"Cochran County, Texas",""
"    Number",""
"        Estimate","1,026"
"    Percent Distribution",""
"        Estimate","1,026"
"    Median income (dollars)",""
"        Estimate","41,000"
"Coke County, Texas",""
"    Number",""
"        Estimate","1,625"
"    Percent Distribution",""
"        Estimate","1,625"
"    Median income (dollars)",""
"        Estimate","45,072"
"Coleman County, Texas",""
"    Number",""
"        Estimate","3,492"
"    Percent Distribution",""
"        Estimate","3,492"
"    Median income (dollars)",""
"        Estimate","46,948"
"Collin County, Texas",""
"    Number",""
"        Estimate","353,491"
"    Percent Distribution",""
"        Estimate","353,491"
"    Median income (dollars)",""
"        Estimate","100,541"
"Collingsworth County, Texas",""
"    Number",""
"        Estimate","1,029"
"    Percent Distribution",""
"        Estimate","1,029"
"    Median income (dollars)",""
"        Estimate","41,202"
"Colorado County, Texas",""
"    Number",""
"        Estimate","7,442"
"    Percent Distribution",""
"        Estimate","7,442"
"    Median income (dollars)",""
"        Estimate","52,663"
"Comal County, Texas",""
"    Number",""
"        Estimate","54,586"
"    Percent Distribution",""
"        Estimate","54,586"
"    Median income (dollars)",""
"        Estimate","80,781"
"Comanche County, Texas",""
"    Number",""
"        Estimate","5,416"
"    Percent Distribution",""
"        Estimate","5,416"
"    Median income (dollars)",""
"        Estimate","54,889"
"Concho County, Texas",""
"    Number",""
"        Estimate","876"
"    Percent Distribution",""
"        Estimate","876"
"    Median income (dollars)",""
"        Estimate","53,333"
"Cooke County, Texas",""
"    Number",""
"        Estimate","15,530"
"    Percent Distribution",""
"        Estimate","15,530"
"    Median income (dollars)",""
"        Estimate","62,733"
"Coryell County, Texas",""
"    Number",""
"        Estimate","22,324"
"    Percent Distribution",""
"        Estimate","22,324"
"    Median income (dollars)",""
"        Estimate","54,712"
"Cottle County, Texas",""
"    Number",""
"        Estimate","703"
"    Percent Distribution",""
"        Estimate","703"
"    Median income (dollars)",""
"        Estimate","40,250"
"Crane County, Texas",""
"    Number",""
"        Estimate","1,500"
"    Percent Distribution",""
"        Estimate","1,500"
"    Median income (dollars)",""
"        Estimate","54,596"
"Crockett County, Texas",""
"    Number",""
"        Estimate","1,394"
"    Percent Distribution",""
"        Estimate","1,394"
"    Median income (dollars)",""
"        Estimate","46,695"
"Crosby County, Texas",""
"    Number",""
"        Estimate","2,107"
"    Percent Distribution",""
"        Estimate","2,107"
"    Median income (dollars)",""
"        Estimate","42,470"
"Culberson County, Texas",""
"    Number",""
"        Estimate","668"
"    Percent Distribution",""
"        Estimate","668"
"    Median income (dollars)",""
"        Estimate","34,853"
"Dallam County, Texas",""
"    Number",""
"        Estimate","2,344"
"    Percent Distribution",""
"        Estimate","2,344"
"    Median income (dollars)",""
"        Estimate","58,956"
"Dallas County, Texas",""
"    Number",""
"        Estimate","945,996"
"    Percent Distribution",""
"        Estimate","945,996"
"    Median income (dollars)",""
"        Estimate","61,870"
"Dawson County, Texas",""
"    Number",""
"        Estimate","4,430"
"    Percent Distribution",""
"        Estimate","4,430"
"    Median income (dollars)",""
"        Estimate","40,469"
"Deaf Smith County, Texas",""
"    Number",""
"        Estimate","6,053"
"    Percent Distribution",""
"        Estimate","6,053"
"    Median income (dollars)",""
"        Estimate","49,790"
"Delta County, Texas",""
"    Number",""
"        Estimate","2,066"
"    Percent Distribution",""
"        Estimate","2,066"
"    Median income (dollars)",""
"        Estimate","49,868"
"Denton County, Texas",""
"    Number",""
"        Estimate","300,585"
"    Percent Distribution",""
"        Estimate","300,585"
"    Median income (dollars)",""
"        Estimate","90,354"
"DeWitt County, Texas",""
"    Number",""
"        Estimate","6,823"
"    Percent Distribution",""
"        Estimate","6,823"
"    Median income (dollars)",""
"        Estimate","53,815"
"Dickens County, Texas",""
"    Number",""
"        Estimate","861"
"    Percent Distribution",""
"        Estimate","861"
"    Median income (dollars)",""
"        Estimate","41,141"
"Dimmit County, Texas",""
"    Number",""
"        Estimate","3,178"
"    Percent Distribution",""
"        Estimate","3,178"
"    Median income (dollars)",""
"        Estimate","25,996"
"Donley County, Texas",""
"    Number",""
"        Estimate","1,344"
"    Percent Distribution",""
"        Estimate","1,344"
"    Median income (dollars)",""
"        Estimate","51,875"
"Duval County, Texas",""
"    Number",""
"        Estimate","3,407"
"    Percent Distribution",""
"        Estimate","3,407"
"    Median income (dollars)",""
"        Estimate","45,349"
"Eastland County, Texas",""
"    Number",""
"        Estimate","7,017"
"    Percent Distribution",""
"        Estimate","7,017"
"    Median income (dollars)",""
"        Estimate","41,559"
"Ector County, Texas",""
"    Number",""
"        Estimate","53,602"
"    Percent Distribution",""
"        Estimate","53,602"
"    Median income (dollars)",""
"        Estimate","63,096"
"Edwards County, Texas",""
"    Number",""
"        Estimate","787"
"    Percent Distribution",""
"        Estimate","787"
"    Median income (dollars)",""
"        Estimate","40,643"
"Ellis County, Texas",""
"    Number",""
"        Estimate","59,399"
"    Percent Distribution",""
"        Estimate","59,399"
"    Median income (dollars)",""
"        Estimate","79,834"
"El Paso County, Texas",""
"    Number",""
"        Estimate","273,662"
"    Percent Distribution",""
"        Estimate","273,662"
"    Median income (dollars)",""
"        Estimate","48,292"
"Erath County, Texas",""
"    Number",""
"        Estimate","14,263"
"    Percent Distribution",""
"        Estimate","14,263"
"    Median income (dollars)",""
"        Estimate","55,383"
"Falls County, Texas",""
"    Number",""
"        Estimate","5,552"
"    Percent Distribution",""
"        Estimate","5,552"
"    Median income (dollars)",""
"        Estimate","36,854"
"Fannin County, Texas",""
"    Number",""
"        Estimate","12,391"
"    Percent Distribution",""
"        Estimate","12,391"
"    Median income (dollars)",""
"        Estimate","57,898"
"Fayette County, Texas",""
"    Number",""
"        Estimate","9,033"
"    Percent Distribution",""
"        Estimate","9,033"
"    Median income (dollars)",""
"        Estimate","62,872"
"Fisher County, Texas",""
"    Number",""
"        Estimate","1,676"
"    Percent Distribution",""
"        Estimate","1,676"
"    Median income (dollars)",""
"        Estimate","52,683"
"Floyd County, Texas",""
"    Number",""
"        Estimate","2,184"
"    Percent Distribution",""
"        Estimate","2,184"
"    Median income (dollars)",""
"        Estimate","52,714"
"Foard County, Texas",""
"    Number",""
"        Estimate","509"
"    Percent Distribution",""
"        Estimate","509"
"    Median income (dollars)",""
"        Estimate","39,306"
"Fort Bend County, Texas",""
"    Number",""
"        Estimate","248,299"
"    Percent Distribution",""
"        Estimate","248,299"
"    Median income (dollars)",""
"        Estimate","100,189"
"Franklin County, Texas",""
"    Number",""
"        Estimate","3,960"
"    Percent Distribution",""
"        Estimate","3,960"
"    Median income (dollars)",""
"        Estimate","59,632"
"Freestone County, Texas",""
"    Number",""
"        Estimate","6,736"
"    Percent Distribution",""
"        Estimate","6,736"
"    Median income (dollars)",""
"        Estimate","52,232"
"Frio County, Texas",""
"    Number",""
"        Estimate","4,673"
"    Percent Distribution",""
"        Estimate","4,673"
"    Median income (dollars)",""
"        Estimate","48,708"
"Gaines County, Texas",""
"    Number",""
"        Estimate","5,878"
"    Percent Distribution",""
"        Estimate","5,878"
"    Median income (dollars)",""
"        Estimate","62,994"
"Galveston County, Texas",""
"    Number",""
"        Estimate","125,204"
"    Percent Distribution",""
"        Estimate","125,204"
"    Median income (dollars)",""
"        Estimate","74,633"
"Garza County, Texas",""
"    Number",""
"        Estimate","1,713"
"    Percent Distribution",""
"        Estimate","1,713"
"    Median income (dollars)",""
"        Estimate","58,938"
"Gillespie County, Texas",""
"    Number",""
"        Estimate","10,820"
"    Percent Distribution",""
"        Estimate","10,820"
"    Median income (dollars)",""
"        Estimate","61,445"
"Glasscock County, Texas",""
"    Number",""
"        Estimate","435"
"    Percent Distribution",""
"        Estimate","435"
"    Median income (dollars)",""
"        Estimate","74,375"
"Goliad County, Texas",""
"    Number",""
"        Estimate","2,840"
"    Percent Distribution",""
"        Estimate","2,840"
"    Median income (dollars)",""
"        Estimate","50,000"
"Gonzales County, Texas",""
"    Number",""
"        Estimate","7,465"
"    Percent Distribution",""
"        Estimate","7,465"
"    Median income (dollars)",""
"        Estimate","58,210"
"Gray County, Texas",""
"    Number",""
"        Estimate","7,843"
"    Percent Distribution",""
"        Estimate","7,843"
"    Median income (dollars)",""
"        Estimate","54,679"
"Grayson County, Texas",""
"    Number",""
"        Estimate","49,327"
"    Percent Distribution",""
"        Estimate","49,327"
"    Median income (dollars)",""
"        Estimate","58,296"
"Gregg County, Texas",""
"    Number",""
"        Estimate","46,174"
"    Percent Distribution",""
"        Estimate","46,174"
"    Median income (dollars)",""
"        Estimate","52,027"
"Grimes County, Texas",""
"    Number",""
"        Estimate","9,206"
"    Percent Distribution",""
"        Estimate","9,206"
"    Median income (dollars)",""
"        Estimate","56,086"
"Guadalupe County, Texas",""
"    Number",""
"        Estimate","55,710"
"    Percent Distribution",""
"        Estimate","55,710"
"    Median income (dollars)",""
"        Estimate","75,774"
"Hale County, Texas",""
"    Number",""
"        Estimate","10,888"
"    Percent Distribution",""
"        Estimate","10,888"
"    Median income (dollars)",""
"        Estimate","47,500"
"Hall County, Texas",""
"    Number",""
"        Estimate","1,252"
"    Percent Distribution",""
"        Estimate","1,252"
"    Median income (dollars)",""
"        Estimate","40,197"
"Hamilton County, Texas",""
"    Number",""
"        Estimate","3,007"
"    Percent Distribution",""
"        Estimate","3,007"
"    Median income (dollars)",""
"        Estimate","46,893"
"Hansford County, Texas",""
"    Number",""
"        Estimate","1,859"
"    Percent Distribution",""
"        Estimate","1,859"
"    Median income (dollars)",""
"        Estimate","46,507"
"Hardeman County, Texas",""
"    Number",""
"        Estimate","1,672"
"    Percent Distribution",""
"        Estimate","1,672"
"    Median income (dollars)",""
"        Estimate","47,188"
"Hardin County, Texas",""
"    Number",""
"        Estimate","21,188"
"    Percent Distribution",""
"        Estimate","21,188"
"    Median income (dollars)",""
"        Estimate","61,221"
"Harris County, Texas",""
"    Number",""
"        Estimate","1,635,749"
"    Percent Distribution",""
"        Estimate","1,635,749"
"    Median income (dollars)",""
"        Estimate","63,022"
"Harrison County, Texas",""
"    Number",""
"        Estimate","23,841"
"    Percent Distribution",""
"        Estimate","23,841"
"    Median income (dollars)",""
"        Estimate","54,234"
"Hartley County, Texas",""
"    Number",""
"        Estimate","1,691"
"    Percent Distribution",""
"        Estimate","1,691"
"    Median income (dollars)",""
"        Estimate","53,722"
"Haskell County, Texas",""
"    Number",""
"        Estimate","2,162"
"    Percent Distribution",""
"        Estimate","2,162"
"    Median income (dollars)",""
"        Estimate","48,955"
"Hays County, Texas",""
"    Number",""
"        Estimate","76,724"
"    Percent Distribution",""
"        Estimate","76,724"
"    Median income (dollars)",""
"        Estimate","68,724"
"Hemphill County, Texas",""
"    Number",""
"        Estimate","1,356"
"    Percent Distribution",""
"        Estimate","1,356"
"    Median income (dollars)",""
"        Estimate","59,605"
"Henderson County, Texas",""
"    Number",""
"        Estimate","31,649"
"    Percent Distribution",""
"        Estimate","31,649"
"    Median income (dollars)",""
"        Estimate","49,469"
"Hidalgo County, Texas",""
"    Number",""
"        Estimate","243,878"
"    Percent Distribution",""
"        Estimate","243,878"
"    Median income (dollars)",""
"        Estimate","41,846"
"Hill County, Texas",""
"    Number",""
"        Estimate","13,094"
"    Percent Distribution",""
"        Estimate","13,094"
"    Median income (dollars)",""
"        Estimate","55,615"
"Hockley County, Texas",""
"    Number",""
"        Estimate","8,071"
"    Percent Distribution",""
"        Estimate","8,071"
"    Median income (dollars)",""
"        Estimate","47,010"
"Hood County, Texas",""
"    Number",""
"        Estimate","23,215"
"    Percent Distribution",""
"        Estimate","23,215"
"    Median income (dollars)",""
"        Estimate","71,253"
"Hopkins County, Texas",""
"    Number",""
"        Estimate","13,514"
"    Percent Distribution",""
"        Estimate","13,514"
"    Median income (dollars)",""
"        Estimate","54,600"
"Houston County, Texas",""
"    Number",""
"        Estimate","8,234"
"    Percent Distribution",""
"        Estimate","8,234"
"    Median income (dollars)",""
"        Estimate","40,838"
"Howard County, Texas",""
"    Number",""
"        Estimate","11,354"
"    Percent Distribution",""
"        Estimate","11,354"
"    Median income (dollars)",""
"        Estimate","57,761"
"Hudspeth County, Texas",""
"    Number",""
"        Estimate","1,127"
"    Percent Distribution",""
"        Estimate","1,127"
"    Median income (dollars)",""
"        Estimate","31,505"
"Hunt County, Texas",""
"    Number",""
"        Estimate","33,596"
"    Percent Distribution",""
"        Estimate","33,596"
"    Median income (dollars)",""
"        Estimate","57,467"
"Hutchinson County, Texas",""
"    Number",""
"        Estimate","7,074"
"    Percent Distribution",""
"        Estimate","7,074"
"    Median income (dollars)",""
"        Estimate","57,921"
"Irion County, Texas",""
"    Number",""
"        Estimate","636"
"    Percent Distribution",""
"        Estimate","636"
"    Median income (dollars)",""
"        Estimate","53,778"
"Jack County, Texas",""
"    Number",""
"        Estimate","3,169"
"    Percent Distribution",""
"        Estimate","3,169"
"    Median income (dollars)",""
"        Estimate","54,087"
"Jackson County, Texas",""
"    Number",""
"        Estimate","4,924"
"    Percent Distribution",""
"        Estimate","4,924"
"    Median income (dollars)",""
"        Estimate","58,243"
"Jasper County, Texas",""
"    Number",""
"        Estimate","13,725"
"    Percent Distribution",""
"        Estimate","13,725"
"    Median income (dollars)",""
"        Estimate","42,756"
"Jeff Davis County, Texas",""
"    Number",""
"        Estimate","991"
"    Percent Distribution",""
"        Estimate","991"
"    Median income (dollars)",""
"        Estimate","-"
"Jefferson County, Texas",""
"    Number",""
"        Estimate","94,012"
"    Percent Distribution",""
"        Estimate","94,012"
"    Median income (dollars)",""
"        Estimate","50,840"
"Jim Hogg County, Texas",""
"    Number",""
"        Estimate","1,545"
"    Percent Distribution",""
"        Estimate","1,545"
"    Median income (dollars)",""
"        Estimate","35,736"
"Jim Wells County, Texas",""
"    Number",""
"        Estimate","12,924"
"    Percent Distribution",""
"        Estimate","12,924"
"    Median income (dollars)",""
"        Estimate","45,857"
"Johnson County, Texas",""
"    Number",""
"        Estimate","58,270"
"    Percent Distribution",""
"        Estimate","58,270"
"    Median income (dollars)",""
"        Estimate","65,311"
"Jones County, Texas",""
"    Number",""
"        Estimate","5,646"
"    Percent Distribution",""
"        Estimate","5,646"
"    Median income (dollars)",""
"        Estimate","52,471"
"Karnes County, Texas",""
"    Number",""
"        Estimate","4,552"
"    Percent Distribution",""
"        Estimate","4,552"
"    Median income (dollars)",""
"        Estimate","52,896"
"Kaufman County, Texas",""
"    Number",""
"        Estimate","39,237"
"    Percent Distribution",""
"        Estimate","39,237"
"    Median income (dollars)",""
"        Estimate","72,179"
"Kendall County, Texas",""
"    Number",""
"        Estimate","14,789"
"    Percent Distribution",""
"        Estimate","14,789"
"    Median income (dollars)",""
"        Estimate","98,692"
"Kenedy County, Texas",""
"    Number",""
"        Estimate","129"
"    Percent Distribution",""
"        Estimate","129"
"    Median income (dollars)",""
"        Estimate","40,083"
"Kent County, Texas",""
"    Number",""
"        Estimate","286"
"    Percent Distribution",""
"        Estimate","286"
"    Median income (dollars)",""
"        Estimate","61,706"
"Kerr County, Texas",""
"    Number",""
"        Estimate","21,278"
"    Percent Distribution",""
"        Estimate","21,278"
"    Median income (dollars)",""
"        Estimate","57,196"
"Kimble County, Texas",""
"    Number",""
"        Estimate","1,967"
"    Percent Distribution",""
"        Estimate","1,967"
"    Median income (dollars)",""
"        Estimate","46,602"
"King County, Texas",""
"    Number",""
"        Estimate","90"
"    Percent Distribution",""
"        Estimate","90"
"    Median income (dollars)",""
"        Estimate","39,286"
"Kinney County, Texas",""
"    Number",""
"        Estimate","1,475"
"    Percent Distribution",""
"        Estimate","1,475"
"    Median income (dollars)",""
"        Estimate","39,972"
"Kleberg County, Texas",""
"    Number",""
"        Estimate","11,140"
"    Percent Distribution",""
"        Estimate","11,140"
"    Median income (dollars)",""
"        Estimate","47,301"
"Knox County, Texas",""
"    Number",""
"        Estimate","1,394"
"    Percent Distribution",""
"        Estimate","1,394"
"    Median income (dollars)",""
"        Estimate","50,719"
"Lamar County, Texas",""
"    Number",""
"        Estimate","19,995"
"    Percent Distribution",""
"        Estimate","19,995"
"    Median income (dollars)",""
"        Estimate","48,036"
"Lamb County, Texas",""
"    Number",""
"        Estimate","4,706"
"    Percent Distribution",""
"        Estimate","4,706"
"    Median income (dollars)",""
"        Estimate","44,935"
"Lampasas County, Texas",""
"    Number",""
"        Estimate","7,823"
"    Percent Distribution",""
"        Estimate","7,823"
"    Median income (dollars)",""
"        Estimate","64,808"
"La Salle County, Texas",""
"    Number",""
"        Estimate","2,142"
"    Percent Distribution",""
"        Estimate","2,142"
"    Median income (dollars)",""
"        Estimate","47,162"
"Lavaca County, Texas",""
"    Number",""
"        Estimate","7,904"
"    Percent Distribution",""
"        Estimate","7,904"
"    Median income (dollars)",""
"        Estimate","54,211"
"Lee County, Texas",""
"    Number",""
"        Estimate","6,159"
"    Percent Distribution",""
"        Estimate","6,159"
"    Median income (dollars)",""
"        Estimate","56,696"
"Leon County, Texas",""
"    Number",""
"        Estimate","6,837"
"    Percent Distribution",""
"        Estimate","6,837"
"    Median income (dollars)",""
"        Estimate","43,392"
"Liberty County, Texas",""
"    Number",""
"        Estimate","27,417"
"    Percent Distribution",""
"        Estimate","27,417"
"    Median income (dollars)",""
"        Estimate","50,917"
"Limestone County, Texas",""
"    Number",""
"        Estimate","8,292"
"    Percent Distribution",""
"        Estimate","8,292"
"    Median income (dollars)",""
"        Estimate","45,781"
"Lipscomb County, Texas",""
"    Number",""
"        Estimate","1,158"
"    Percent Distribution",""
"        Estimate","1,158"
"    Median income (dollars)",""
"        Estimate","63,182"
"Live Oak County, Texas",""
"    Number",""
"        Estimate","3,854"
"    Percent Distribution",""
"        Estimate","3,854"
"    Median income (dollars)",""
"        Estimate","50,212"
"Llano County, Texas",""
"    Number",""
"        Estimate","9,031"
"    Percent Distribution",""
"        Estimate","9,031"
"    Median income (dollars)",""
"        Estimate","58,941"
"Loving County, Texas",""
"    Number",""
"        Estimate","62"
"    Percent Distribution",""
"        Estimate","62"
"    Median income (dollars)",""
"        Estimate","44,076"
"Lubbock County, Texas",""
"    Number",""
"        Estimate","116,535"
"    Percent Distribution",""
"        Estimate","116,535"
"    Median income (dollars)",""
"        Estimate","53,425"
"Lynn County, Texas",""
"    Number",""
"        Estimate","2,199"
"    Percent Distribution",""
"        Estimate","2,199"
"    Median income (dollars)",""
"        Estimate","46,163"
"McCulloch County, Texas",""
"    Number",""
"        Estimate","3,151"
"    Percent Distribution",""
"        Estimate","3,151"
"    Median income (dollars)",""
"        Estimate","48,618"
"McLennan County, Texas",""
"    Number",""
"        Estimate","91,422"
"    Percent Distribution",""
"        Estimate","91,422"
"    Median income (dollars)",""
"        Estimate","50,210"
"McMullen County, Texas",""
"    Number",""
"        Estimate","229"
"    Percent Distribution",""
"        Estimate","229"
"    Median income (dollars)",""
"        Estimate","67,386"
"Madison County, Texas",""
"    Number",""
"        Estimate","4,205"
"    Percent Distribution",""
"        Estimate","4,205"
"    Median income (dollars)",""
"        Estimate","60,499"
"Marion County, Texas",""
"    Number",""
"        Estimate","4,535"
"    Percent Distribution",""
"        Estimate","4,535"
"    Median income (dollars)",""
"        Estimate","39,093"
"Martin County, Texas",""
"    Number",""
"        Estimate","1,722"
"    Percent Distribution",""
"        Estimate","1,722"
"    Median income (dollars)",""
"        Estimate","70,000"
"Mason County, Texas",""
"    Number",""
"        Estimate","1,668"
"    Percent Distribution",""
"        Estimate","1,668"
"    Median income (dollars)",""
"        Estimate","61,434"
"Matagorda County, Texas",""
"    Number",""
"        Estimate","13,900"
"    Percent Distribution",""
"        Estimate","13,900"
"    Median income (dollars)",""
"        Estimate","48,733"
"Maverick County, Texas",""
"    Number",""
"        Estimate","16,647"
"    Percent Distribution",""
"        Estimate","16,647"
"    Median income (dollars)",""
"        Estimate","41,385"
"Medina County, Texas",""
"    Number",""
"        Estimate","15,978"
"    Percent Distribution",""
"        Estimate","15,978"
"    Median income (dollars)",""
"        Estimate","62,701"
"Menard County, Texas",""
"    Number",""
"        Estimate","1,035"
"    Percent Distribution",""
"        Estimate","1,035"
"    Median income (dollars)",""
"        Estimate","43,826"
"Midland County, Texas",""
"    Number",""
"        Estimate","57,917"
"    Percent Distribution",""
"        Estimate","57,917"
"    Median income (dollars)",""
"        Estimate","83,217"
"Milam County, Texas",""
"    Number",""
"        Estimate","9,468"
"    Percent Distribution",""
"        Estimate","9,468"
"    Median income (dollars)",""
"        Estimate","48,253"
"Mills County, Texas",""
"    Number",""
"        Estimate","1,752"
"    Percent Distribution",""
"        Estimate","1,752"
"    Median income (dollars)",""
"        Estimate","50,198"
"Mitchell County, Texas",""
"    Number",""
"        Estimate","2,419"
"    Percent Distribution",""
"        Estimate","2,419"
"    Median income (dollars)",""
"        Estimate","44,939"
"Montague County, Texas",""
"    Number",""
"        Estimate","7,969"
"    Percent Distribution",""
"        Estimate","7,969"
"    Median income (dollars)",""
"        Estimate","57,511"
"Montgomery County, Texas",""
"    Number",""
"        Estimate","205,719"
"    Percent Distribution",""
"        Estimate","205,719"
"    Median income (dollars)",""
"        Estimate","83,274"
"Moore County, Texas",""
"    Number",""
"        Estimate","6,659"
"    Percent Distribution",""
"        Estimate","6,659"
"    Median income (dollars)",""
"        Estimate","53,967"
"Morris County, Texas",""
"    Number",""
"        Estimate","5,170"
"    Percent Distribution",""
"        Estimate","5,170"
"    Median income (dollars)",""
"        Estimate","43,995"
