"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"    Number",""
"        Estimate","458"
"    Percent Distribution",""
"        Estimate","458"
"    Median income (dollars)",""
"        Estimate","59,286"
"Nacogdoches County, Texas",""
"    Number",""
"        Estimate","24,179"
"    Percent Distribution",""
"        Estimate","24,179"
"    Median income (dollars)",""
"        Estimate","47,306"
"Navarro County, Texas",""
"    Number",""
"        Estimate","17,602"
"    Percent Distribution",""
"        Estimate","17,602"
"    Median income (dollars)",""
"        Estimate","50,466"
"Newton County, Texas",""
"    Number",""
"        Estimate","4,728"
"    Percent Distribution",""
"        Estimate","4,728"
"    Median income (dollars)",""
"        Estimate","38,116"
"Nolan County, Texas",""
"    Number",""
"        Estimate","5,548"
"    Percent Distribution",""
"        Estimate","5,548"
"    Median income (dollars)",""
"        Estimate","44,700"
"Nueces County, Texas",""
"    Number",""
"        Estimate","129,845"
"    Percent Distribution",""
"        Estimate","129,845"
"    Median income (dollars)",""
"        Estimate","59,477"
"Ochiltree County, Texas",""
"    Number",""
"        Estimate","3,605"
"    Percent Distribution",""
"        Estimate","3,605"
"    Median income (dollars)",""
"        Estimate","57,413"
"Oldham County, Texas",""
"    Number",""
"        Estimate","648"
"    Percent Distribution",""
"        Estimate","648"
"    Median income (dollars)",""
"        Estimate","68,077"
"Orange County, Texas",""
"    Number",""
"        Estimate","30,636"
"    Percent Distribution",""
"        Estimate","30,636"
"    Median income (dollars)",""
"        Estimate","68,756"
"Palo Pinto County, Texas",""
"    Number",""
"        Estimate","10,383"
"    Percent Distribution",""
"        Estimate","10,383"
"    Median income (dollars)",""
"        Estimate","59,796"
"Panola County, Texas",""
"    Number",""
"        Estimate","8,186"
"    Percent Distribution",""
"        Estimate","8,186"
"    Median income (dollars)",""
"        Estimate","54,853"
"Parker County, Texas",""
"    Number",""
"        Estimate","50,815"
"    Percent Distribution",""
"        Estimate","50,815"
"    Median income (dollars)",""
"        Estimate","88,535"
"Parmer County, Texas",""
"    Number",""
"        Estimate","3,172"
"    Percent Distribution",""
"        Estimate","3,172"
"    Median income (dollars)",""
"        Estimate","62,885"
"Pecos County, Texas",""
"    Number",""
"        Estimate","4,995"
"    Percent Distribution",""
"        Estimate","4,995"
"    Median income (dollars)",""
"        Estimate","55,652"
"Polk County, Texas",""
"    Number",""
"        Estimate","17,028"
"    Percent Distribution",""
"        Estimate","17,028"
"    Median income (dollars)",""
"        Estimate","52,826"
"Potter County, Texas",""
"    Number",""
"        Estimate","43,103"
"    Percent Distribution",""
"        Estimate","43,103"
"    Median income (dollars)",""
"        Estimate","45,096"
"Presidio County, Texas",""
"    Number",""
"        Estimate","2,195"
"    Percent Distribution",""
"        Estimate","2,195"
"    Median income (dollars)",""
"        Estimate","26,395"
"Rains County, Texas",""
"    Number",""
"        Estimate","4,585"
"    Percent Distribution",""
"        Estimate","4,585"
"    Median income (dollars)",""
"        Estimate","55,758"
"Randall County, Texas",""
"    Number",""
"        Estimate","54,480"
"    Percent Distribution",""
"        Estimate","54,480"
"    Median income (dollars)",""
"        Estimate","70,544"
"Reagan County, Texas",""
"    Number",""
"        Estimate","1,069"
"    Percent Distribution",""
"        Estimate","1,069"
"    Median income (dollars)",""
"        Estimate","62,829"
"Real County, Texas",""
"    Number",""
"        Estimate","893"
"    Percent Distribution",""
"        Estimate","893"
"    Median income (dollars)",""
"        Estimate","44,083"
"Red River County, Texas",""
"    Number",""
"        Estimate","4,591"
"    Percent Distribution",""
"        Estimate","4,591"
"    Median income (dollars)",""
"        Estimate","40,674"
"Reeves County, Texas",""
"    Number",""
"        Estimate","4,070"
"    Percent Distribution",""
"        Estimate","4,070"
"    Median income (dollars)",""
"        Estimate","53,548"
"Refugio County, Texas",""
"    Number",""
"        Estimate","2,189"
"    Percent Distribution",""
"        Estimate","2,189"
"    Median income (dollars)",""
"        Estimate","50,745"
"Roberts County, Texas",""
"    Number",""
"        Estimate","310"
"    Percent Distribution",""
"        Estimate","310"
"    Median income (dollars)",""
"        Estimate","62,717"
"Robertson County, Texas",""
"    Number",""
"        Estimate","6,310"
"    Percent Distribution",""
"        Estimate","6,310"
"    Median income (dollars)",""
"        Estimate","55,709"
"Rockwall County, Texas",""
"    Number",""
"        Estimate","35,771"
"    Percent Distribution",""
"        Estimate","35,771"
"    Median income (dollars)",""
"        Estimate","111,595"
"Runnels County, Texas",""
"    Number",""
"        Estimate","3,746"
"    Percent Distribution",""
"        Estimate","3,746"
"    Median income (dollars)",""
"        Estimate","52,103"
"Rusk County, Texas",""
"    Number",""
"        Estimate","17,656"
"    Percent Distribution",""
"        Estimate","17,656"
"    Median income (dollars)",""
"        Estimate","60,330"
"Sabine County, Texas",""
"    Number",""
"        Estimate","4,317"
"    Percent Distribution",""
"        Estimate","4,317"
"    Median income (dollars)",""
"        Estimate","41,308"
"San Augustine County, Texas",""
"    Number",""
"        Estimate","3,167"
"    Percent Distribution",""
"        Estimate","3,167"
"    Median income (dollars)",""
"        Estimate","43,130"
"San Jacinto County, Texas",""
"    Number",""
"        Estimate","9,451"
"    Percent Distribution",""
"        Estimate","9,451"
"    Median income (dollars)",""
"        Estimate","46,678"
"San Patricio County, Texas",""
"    Number",""
"        Estimate","23,808"
"    Percent Distribution",""
"        Estimate","23,808"
"    Median income (dollars)",""
"        Estimate","59,532"
"San Saba County, Texas",""
"    Number",""
"        Estimate","1,960"
"    Percent Distribution",""
"        Estimate","1,960"
"    Median income (dollars)",""
"        Estimate","46,927"
"Schleicher County, Texas",""
"    Number",""
"        Estimate","883"
"    Percent Distribution",""
"        Estimate","883"
"    Median income (dollars)",""
"        Estimate","61,094"
"Scurry County, Texas",""
"    Number",""
"        Estimate","5,973"
"    Percent Distribution",""
"        Estimate","5,973"
"    Median income (dollars)",""
"        Estimate","53,376"
"Shackelford County, Texas",""
"    Number",""
"        Estimate","1,269"
"    Percent Distribution",""
"        Estimate","1,269"
"    Median income (dollars)",""
"        Estimate","54,896"
"Shelby County, Texas",""
"    Number",""
"        Estimate","8,898"
"    Percent Distribution",""
"        Estimate","8,898"
"    Median income (dollars)",""
"        Estimate","44,504"
"Sherman County, Texas",""
"    Number",""
"        Estimate","810"
"    Percent Distribution",""
"        Estimate","810"
"    Median income (dollars)",""
"        Estimate","55,667"
"Smith County, Texas",""
"    Number",""
"        Estimate","81,377"
"    Percent Distribution",""
"        Estimate","81,377"
"    Median income (dollars)",""
"        Estimate","62,518"
"Somervell County, Texas",""
"    Number",""
"        Estimate","3,227"
"    Percent Distribution",""
"        Estimate","3,227"
"    Median income (dollars)",""
"        Estimate","89,253"
"Starr County, Texas",""
"    Number",""
"        Estimate","18,599"
"    Percent Distribution",""
"        Estimate","18,599"
"    Median income (dollars)",""
"        Estimate","33,334"
"Stephens County, Texas",""
"    Number",""
"        Estimate","3,385"
"    Percent Distribution",""
"        Estimate","3,385"
"    Median income (dollars)",""
"        Estimate","46,537"
"Sterling County, Texas",""
"    Number",""
"        Estimate","397"
"    Percent Distribution",""
"        Estimate","397"
"    Median income (dollars)",""
"        Estimate","55,481"
"Stonewall County, Texas",""
"    Number",""
"        Estimate","472"
"    Percent Distribution",""
"        Estimate","472"
"    Median income (dollars)",""
"        Estimate","62,273"
"Sutton County, Texas",""
"    Number",""
"        Estimate","1,124"
"    Percent Distribution",""
"        Estimate","1,124"
"    Median income (dollars)",""
"        Estimate","61,538"
"Swisher County, Texas",""
"    Number",""
"        Estimate","2,477"
"    Percent Distribution",""
"        Estimate","2,477"
"    Median income (dollars)",""
"        Estimate","39,685"
"Tarrant County, Texas",""
"    Number",""
"        Estimate","739,804"
"    Percent Distribution",""
"        Estimate","739,804"
"    Median income (dollars)",""
"        Estimate","73,545"
"Taylor County, Texas",""
"    Number",""
"        Estimate","53,292"
"    Percent Distribution",""
"        Estimate","53,292"
"    Median income (dollars)",""
"        Estimate","57,811"
"Terrell County, Texas",""
"    Number",""
"        Estimate","426"
"    Percent Distribution",""
"        Estimate","426"
"    Median income (dollars)",""
"        Estimate","47,012"
"Terry County, Texas",""
"    Number",""
"        Estimate","4,082"
"    Percent Distribution",""
"        Estimate","4,082"
"    Median income (dollars)",""
"        Estimate","47,734"
"Throckmorton County, Texas",""
"    Number",""
"        Estimate","618"
"    Percent Distribution",""
"        Estimate","618"
"    Median income (dollars)",""
"        Estimate","47,500"
"Titus County, Texas",""
"    Number",""
"        Estimate","10,654"
"    Percent Distribution",""
"        Estimate","10,654"
"    Median income (dollars)",""
"        Estimate","53,818"
"Tom Green County, Texas",""
"    Number",""
"        Estimate","44,814"
"    Percent Distribution",""
"        Estimate","44,814"
"    Median income (dollars)",""
"        Estimate","62,052"
"Travis County, Texas",""
"    Number",""
"        Estimate","514,227"
"    Percent Distribution",""
"        Estimate","514,227"
"    Median income (dollars)",""
"        Estimate","85,043"
"Trinity County, Texas",""
"    Number",""
"        Estimate","5,879"
"    Percent Distribution",""
"        Estimate","5,879"
"    Median income (dollars)",""
"        Estimate","45,392"
"Tyler County, Texas",""
"    Number",""
"        Estimate","6,525"
"    Percent Distribution",""
"        Estimate","6,525"
"    Median income (dollars)",""
"        Estimate","49,130"
"Upshur County, Texas",""
"    Number",""
"        Estimate","14,576"
"    Percent Distribution",""
"        Estimate","14,576"
"    Median income (dollars)",""
"        Estimate","55,046"
"Upton County, Texas",""
"    Number",""
"        Estimate","1,422"
"    Percent Distribution",""
"        Estimate","1,422"
"    Median income (dollars)",""
"        Estimate","58,333"
"Uvalde County, Texas",""
"    Number",""
"        Estimate","8,324"
"    Percent Distribution",""
"        Estimate","8,324"
"    Median income (dollars)",""
"        Estimate","51,602"
"Val Verde County, Texas",""
"    Number",""
"        Estimate","16,146"
"    Percent Distribution",""
"        Estimate","16,146"
"    Median income (dollars)",""
"        Estimate","51,949"
"Van Zandt County, Texas",""
"    Number",""
"        Estimate","22,047"
"    Percent Distribution",""
"        Estimate","22,047"
"    Median income (dollars)",""
"        Estimate","61,121"
"Victoria County, Texas",""
"    Number",""
"        Estimate","34,219"
"    Percent Distribution",""
"        Estimate","34,219"
"    Median income (dollars)",""
"        Estimate","60,598"
"Walker County, Texas",""
"    Number",""
"        Estimate","23,780"
"    Percent Distribution",""
"        Estimate","23,780"
"    Median income (dollars)",""
"        Estimate","44,104"
"Waller County, Texas",""
"    Number",""
"        Estimate","17,286"
"    Percent Distribution",""
"        Estimate","17,286"
"    Median income (dollars)",""
"        Estimate","65,379"
"Ward County, Texas",""
"    Number",""
"        Estimate","4,299"
"    Percent Distribution",""
"        Estimate","4,299"
"    Median income (dollars)",""
"        Estimate","66,216"
"Washington County, Texas",""
"    Number",""
"        Estimate","13,906"
"    Percent Distribution",""
"        Estimate","13,906"
"    Median income (dollars)",""
"        Estimate","65,913"
"Webb County, Texas",""
"    Number",""
"        Estimate","76,207"
"    Percent Distribution",""
"        Estimate","76,207"
"    Median income (dollars)",""
"        Estimate","54,618"
"Wharton County, Texas",""
"    Number",""
"        Estimate","14,991"
"    Percent Distribution",""
"        Estimate","14,991"
"    Median income (dollars)",""
"        Estimate","53,963"
"Wheeler County, Texas",""
"    Number",""
"        Estimate","1,935"
"    Percent Distribution",""
"        Estimate","1,935"
"    Median income (dollars)",""
"        Estimate","52,138"
"Wichita County, Texas",""
"    Number",""
"        Estimate","48,173"
"    Percent Distribution",""
"        Estimate","48,173"
"    Median income (dollars)",""
"        Estimate","53,272"
"Wilbarger County, Texas",""
"    Number",""
"        Estimate","4,586"
"    Percent Distribution",""
"        Estimate","4,586"
"    Median income (dollars)",""
"        Estimate","45,262"
"Willacy County, Texas",""
"    Number",""
"        Estimate","5,372"
"    Percent Distribution",""
"        Estimate","5,372"
"    Median income (dollars)",""
"        Estimate","39,401"
"Williamson County, Texas",""
"    Number",""
"        Estimate","217,780"
"    Percent Distribution",""
"        Estimate","217,780"
"    Median income (dollars)",""
"        Estimate","94,705"
"Wilson County, Texas",""
"    Number",""
"        Estimate","16,949"
"    Percent Distribution",""
"        Estimate","16,949"
"    Median income (dollars)",""
"        Estimate","84,042"
"Winkler County, Texas",""
"    Number",""
"        Estimate","2,723"
"    Percent Distribution",""
"        Estimate","2,723"
"    Median income (dollars)",""
"        Estimate","67,904"
"Wise County, Texas",""
"    Number",""
"        Estimate","23,488"
"    Percent Distribution",""
"        Estimate","23,488"
"    Median income (dollars)",""
"        Estimate","75,482"
"Wood County, Texas",""
"    Number",""
"        Estimate","17,584"
"    Percent Distribution",""
"        Estimate","17,584"
"    Median income (dollars)",""
"        Estimate","58,418"
"Yoakum County, Texas",""
"    Number",""
"        Estimate","2,682"
"    Percent Distribution",""
"        Estimate","2,682"
"    Median income (dollars)",""
"        Estimate","73,102"
"Young County, Texas",""
"    Number",""
"        Estimate","7,409"
"    Percent Distribution",""
"        Estimate","7,409"
"    Median income (dollars)",""
"        Estimate","52,074"
"Zapata County, Texas",""
"    Number",""
"        Estimate","4,390"
"    Percent Distribution",""
"        Estimate","4,390"
"    Median income (dollars)",""
"        Estimate","34,406"
"Zavala County, Texas",""
"    Number",""
"        Estimate","3,394"
"    Percent Distribution",""
"        Estimate","3,394"
"    Median income (dollars)",""
"        Estimate","44,573"
