"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"    Median income (dollars)",""
"        Estimate","57,536"
"Franklin County, Florida",""
"    Number",""
"        Estimate","4,691"
"    Percent Distribution",""
"        Estimate","4,691"
"    Median income (dollars)",""
"        Estimate","48,814"
"Gadsden County, Florida",""
"    Number",""
"        Estimate","17,307"
"    Percent Distribution",""
"        Estimate","17,307"
"    Median income (dollars)",""
"        Estimate","41,135"
"Gilchrist County, Florida",""
"    Number",""
"        Estimate","6,701"
"    Percent Distribution",""
"        Estimate","6,701"
"    Median income (dollars)",""
"        Estimate","47,381"
"Glades County, Florida",""
"    Number",""
"        Estimate","4,859"
"    Percent Distribution",""
"        Estimate","4,859"
"    Median income (dollars)",""
"        Estimate","39,709"
"Gulf County, Florida",""
"    Number",""
"        Estimate","5,897"
"    Percent Distribution",""
"        Estimate","5,897"
"    Median income (dollars)",""
"        Estimate","50,640"
"Hamilton County, Florida",""
"    Number",""
"        Estimate","4,385"
"    Percent Distribution",""
"        Estimate","4,385"
"    Median income (dollars)",""
"        Estimate","38,300"
"Hardee County, Florida",""
"    Number",""
"        Estimate","7,991"
"    Percent Distribution",""
"        Estimate","7,991"
"    Median income (dollars)",""
"        Estimate","40,165"
"Hendry County, Florida",""
"    Number",""
"        Estimate","12,878"
"    Percent Distribution",""
"        Estimate","12,878"
"    Median income (dollars)",""
"        Estimate","36,978"
"Hernando County, Florida",""
"    Number",""
"        Estimate","76,708"
"    Percent Distribution",""
"        Estimate","76,708"
"    Median income (dollars)",""
"        Estimate","50,280"
"Highlands County, Florida",""
"    Number",""
"        Estimate","42,721"
"    Percent Distribution",""
"        Estimate","42,721"
"    Median income (dollars)",""
"        Estimate","43,708"
"Hillsborough County, Florida",""
"    Number",""
"        Estimate","539,919"
"    Percent Distribution",""
"        Estimate","539,919"
"    Median income (dollars)",""
"        Estimate","60,566"
"Holmes County, Florida",""
"    Number",""
"        Estimate","7,137"
"    Percent Distribution",""
"        Estimate","7,137"
"    Median income (dollars)",""
"        Estimate","39,215"
"Indian River County, Florida",""
"    Number",""
"        Estimate","60,959"
"    Percent Distribution",""
"        Estimate","60,959"
"    Median income (dollars)",""
"        Estimate","57,945"
"Jackson County, Florida",""
"    Number",""
"        Estimate","17,533"
"    Percent Distribution",""
"        Estimate","17,533"
"    Median income (dollars)",""
"        Estimate","40,754"
"Jefferson County, Florida",""
"    Number",""
"        Estimate","5,643"
"    Percent Distribution",""
"        Estimate","5,643"
"    Median income (dollars)",""
"        Estimate","49,081"
"Lafayette County, Florida",""
"    Number",""
"        Estimate","2,315"
"    Percent Distribution",""
"        Estimate","2,315"
"    Median income (dollars)",""
"        Estimate","51,734"
"Lake County, Florida",""
"    Number",""
"        Estimate","137,446"
"    Percent Distribution",""
"        Estimate","137,446"
"    Median income (dollars)",""
"        Estimate","55,792"
"Lee County, Florida",""
"    Number",""
"        Estimate","288,916"
"    Percent Distribution",""
"        Estimate","288,916"
"    Median income (dollars)",""
"        Estimate","59,608"
"Leon County, Florida",""
"    Number",""
"        Estimate","116,530"
"    Percent Distribution",""
"        Estimate","116,530"
"    Median income (dollars)",""
"        Estimate","54,675"
"Levy County, Florida",""
"    Number",""
"        Estimate","16,971"
"    Percent Distribution",""
"        Estimate","16,971"
"    Median income (dollars)",""
"        Estimate","38,951"
"Liberty County, Florida",""
"    Number",""
"        Estimate","2,513"
"    Percent Distribution",""
"        Estimate","2,513"
"    Median income (dollars)",""
"        Estimate","39,121"
"Madison County, Florida",""
"    Number",""
"        Estimate","6,891"
"    Percent Distribution",""
"        Estimate","6,891"
"    Median income (dollars)",""
"        Estimate","35,240"
"Manatee County, Florida",""
"    Number",""
"        Estimate","150,345"
"    Percent Distribution",""
"        Estimate","150,345"
"    Median income (dollars)",""
"        Estimate","59,963"
"Marion County, Florida",""
"    Number",""
"        Estimate","145,863"
"    Percent Distribution",""
"        Estimate","145,863"
"    Median income (dollars)",""
"        Estimate","46,587"
"Martin County, Florida",""
"    Number",""
"        Estimate","64,870"
"    Percent Distribution",""
"        Estimate","64,870"
"    Median income (dollars)",""
"        Estimate","65,821"
"Miami-Dade County, Florida",""
"    Number",""
"        Estimate","902,200"
"    Percent Distribution",""
"        Estimate","902,200"
"    Median income (dollars)",""
"        Estimate","53,975"
"Monroe County, Florida",""
"    Number",""
"        Estimate","32,794"
"    Percent Distribution",""
"        Estimate","32,794"
"    Median income (dollars)",""
"        Estimate","72,012"
"Nassau County, Florida",""
"    Number",""
"        Estimate","33,475"
"    Percent Distribution",""
"        Estimate","33,475"
"    Median income (dollars)",""
"        Estimate","72,998"
"Okaloosa County, Florida",""
"    Number",""
"        Estimate","79,235"
"    Percent Distribution",""
"        Estimate","79,235"
"    Median income (dollars)",""
"        Estimate","64,373"
"Okeechobee County, Florida",""
"    Number",""
"        Estimate","14,601"
"    Percent Distribution",""
"        Estimate","14,601"
"    Median income (dollars)",""
"        Estimate","46,097"
"Orange County, Florida",""
"    Number",""
"        Estimate","468,075"
"    Percent Distribution",""
"        Estimate","468,075"
"    Median income (dollars)",""
"        Estimate","61,416"
"Osceola County, Florida",""
"    Number",""
"        Estimate","109,642"
"    Percent Distribution",""
"        Estimate","109,642"
"    Median income (dollars)",""
"        Estimate","55,538"
"Palm Beach County, Florida",""
"    Number",""
"        Estimate","565,598"
"    Percent Distribution",""
"        Estimate","565,598"
"    Median income (dollars)",""
"        Estimate","65,015"
"Pasco County, Florida",""
"    Number",""
"        Estimate","209,483"
"    Percent Distribution",""
"        Estimate","209,483"
"    Median income (dollars)",""
"        Estimate","53,431"
"Pinellas County, Florida",""
"    Number",""
"        Estimate","413,239"
"    Percent Distribution",""
"        Estimate","413,239"
"    Median income (dollars)",""
"        Estimate","56,419"
"Polk County, Florida",""
"    Number",""
"        Estimate","240,879"
"    Percent Distribution",""
"        Estimate","240,879"
"    Median income (dollars)",""
"        Estimate","51,535"
"Putnam County, Florida",""
"    Number",""
"        Estimate","29,822"
"    Percent Distribution",""
"        Estimate","29,822"
"    Median income (dollars)",""
"        Estimate","40,068"
"St. Johns County, Florida",""
"    Number",""
"        Estimate","91,253"
"    Percent Distribution",""
"        Estimate","91,253"
"    Median income (dollars)",""
"        Estimate","83,803"
"St. Lucie County, Florida",""
"    Number",""
"        Estimate","118,527"
"    Percent Distribution",""
"        Estimate","118,527"
"    Median income (dollars)",""
"        Estimate","55,237"
"Santa Rosa County, Florida",""
"    Number",""
"        Estimate","65,697"
"    Percent Distribution",""
"        Estimate","65,697"
"    Median income (dollars)",""
"        Estimate","70,663"
"Sarasota County, Florida",""
"    Number",""
"        Estimate","189,228"
"    Percent Distribution",""
"        Estimate","189,228"
"    Median income (dollars)",""
"        Estimate","64,644"
"Seminole County, Florida",""
"    Number",""
"        Estimate","178,094"
"    Percent Distribution",""
"        Estimate","178,094"
"    Median income (dollars)",""
"        Estimate","70,297"
"Sumter County, Florida",""
"    Number",""
"        Estimate","59,076"
"    Percent Distribution",""
"        Estimate","59,076"
"    Median income (dollars)",""
"        Estimate","59,618"
"Suwannee County, Florida",""
"    Number",""
"        Estimate","15,149"
"    Percent Distribution",""
"        Estimate","15,149"
"    Median income (dollars)",""
"        Estimate","46,280"
"Taylor County, Florida",""
"    Number",""
"        Estimate","7,172"
"    Percent Distribution",""
"        Estimate","7,172"
"    Median income (dollars)",""
"        Estimate","38,295"
"Union County, Florida",""
"    Number",""
"        Estimate","4,008"
"    Percent Distribution",""
"        Estimate","4,008"
"    Median income (dollars)",""
"        Estimate","55,139"
"Volusia County, Florida",""
"    Number",""
"        Estimate","220,386"
"    Percent Distribution",""
"        Estimate","220,386"
"    Median income (dollars)",""
"        Estimate","52,407"
"Wakulla County, Florida",""
"    Number",""
"        Estimate","11,382"
"    Percent Distribution",""
"        Estimate","11,382"
"    Median income (dollars)",""
"        Estimate","67,480"
"Walton County, Florida",""
"    Number",""
"        Estimate","28,635"
"    Percent Distribution",""
"        Estimate","28,635"
"    Median income (dollars)",""
"        Estimate","67,390"
"Washington County, Florida",""
"    Number",""
"        Estimate","9,037"
"    Percent Distribution",""
"        Estimate","9,037"
"    Median income (dollars)",""
"        Estimate","37,260"
