"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Brazoria County, Texas",""
"    Number",""
"        Estimate","121,523"
"    Percent Distribution",""
"        Estimate","121,523"
"    Median income (dollars)",""
"        Estimate","81,447"
"Brazos County, Texas",""
"    Number",""
"        Estimate","79,412"
"    Percent Distribution",""
"        Estimate","79,412"
"    Median income (dollars)",""
"        Estimate","49,181"
"Brewster County, Texas",""
"    Number",""
"        Estimate","4,088"
"    Percent Distribution",""
"        Estimate","4,088"
"    Median income (dollars)",""
"        Estimate","47,080"
"Briscoe County, Texas",""
"    Number",""
"        Estimate","602"
"    Percent Distribution",""
"        Estimate","602"
"    Median income (dollars)",""
"        Estimate","40,227"
"Brooks County, Texas",""
"    Number",""
"        Estimate","2,120"
"    Percent Distribution",""
"        Estimate","2,120"
"    Median income (dollars)",""
"        Estimate","28,333"
"Brown County, Texas",""
"    Number",""
"        Estimate","14,409"
"    Percent Distribution",""
"        Estimate","14,409"
"    Median income (dollars)",""
"        Estimate","48,365"
"Burleson County, Texas",""
"    Number",""
"        Estimate","6,810"
"    Percent Distribution",""
"        Estimate","6,810"
"    Median income (dollars)",""
"        Estimate","57,731"
"Burnet County, Texas",""
"    Number",""
"        Estimate","16,743"
"    Percent Distribution",""
"        Estimate","16,743"
"    Median income (dollars)",""
"        Estimate","59,492"
"Caldwell County, Texas",""
"    Number",""
"        Estimate","13,460"
"    Percent Distribution",""
"        Estimate","13,460"
"    Median income (dollars)",""
"        Estimate","54,152"
"Calhoun County, Texas",""
"    Number",""
"        Estimate","7,582"
"    Percent Distribution",""
"        Estimate","7,582"
"    Median income (dollars)",""
"        Estimate","58,776"
"Callahan County, Texas",""
"    Number",""
"        Estimate","5,367"
"    Percent Distribution",""
"        Estimate","5,367"
"    Median income (dollars)",""
"        Estimate","48,651"
"Cameron County, Texas",""
"    Number",""
"        Estimate","124,605"
"    Percent Distribution",""
"        Estimate","124,605"
"    Median income (dollars)",""
"        Estimate","38,758"
"Camp County, Texas",""
"    Number",""
"        Estimate","4,605"
"    Percent Distribution",""
"        Estimate","4,605"
"    Median income (dollars)",""
"        Estimate","48,207"
"Carson County, Texas",""
"    Number",""
"        Estimate","2,288"
"    Percent Distribution",""
"        Estimate","2,288"
"    Median income (dollars)",""
"        Estimate","74,872"
"Cass County, Texas",""
"    Number",""
"        Estimate","11,934"
"    Percent Distribution",""
"        Estimate","11,934"
"    Median income (dollars)",""
"        Estimate","44,848"
"Castro County, Texas",""
"    Number",""
"        Estimate","2,532"
"    Percent Distribution",""
"        Estimate","2,532"
"    Median income (dollars)",""
"        Estimate","50,142"
"Chambers County, Texas",""
"    Number",""
"        Estimate","14,069"
"    Percent Distribution",""
"        Estimate","14,069"
"    Median income (dollars)",""
"        Estimate","91,141"
"Cherokee County, Texas",""
"    Number",""
"        Estimate","18,138"
"    Percent Distribution",""
"        Estimate","18,138"
"    Median income (dollars)",""
"        Estimate","48,186"
"Childress County, Texas",""
"    Number",""
"        Estimate","2,407"
"    Percent Distribution",""
"        Estimate","2,407"
"    Median income (dollars)",""
"        Estimate","43,181"
"Clay County, Texas",""
"    Number",""
"        Estimate","4,105"
"    Percent Distribution",""
"        Estimate","4,105"
"    Median income (dollars)",""
"        Estimate","55,989"
"Cochran County, Texas",""
"    Number",""
"        Estimate","998"
"    Percent Distribution",""
"        Estimate","998"
"    Median income (dollars)",""
"        Estimate","40,962"
"Coke County, Texas",""
"    Number",""
"        Estimate","1,644"
"    Percent Distribution",""
"        Estimate","1,644"
"    Median income (dollars)",""
"        Estimate","45,000"
"Coleman County, Texas",""
"    Number",""
"        Estimate","3,423"
"    Percent Distribution",""
"        Estimate","3,423"
"    Median income (dollars)",""
"        Estimate","46,743"
"Collin County, Texas",""
"    Number",""
"        Estimate","341,163"
"    Percent Distribution",""
"        Estimate","341,163"
"    Median income (dollars)",""
"        Estimate","96,913"
"Collingsworth County, Texas",""
"    Number",""
"        Estimate","1,035"
"    Percent Distribution",""
"        Estimate","1,035"
"    Median income (dollars)",""
"        Estimate","39,120"
"Colorado County, Texas",""
"    Number",""
"        Estimate","7,450"
"    Percent Distribution",""
"        Estimate","7,450"
"    Median income (dollars)",""
"        Estimate","52,559"
"Comal County, Texas",""
"    Number",""
"        Estimate","51,367"
"    Percent Distribution",""
"        Estimate","51,367"
"    Median income (dollars)",""
"        Estimate","79,936"
"Comanche County, Texas",""
"    Number",""
"        Estimate","5,487"
"    Percent Distribution",""
"        Estimate","5,487"
"    Median income (dollars)",""
"        Estimate","53,516"
"Concho County, Texas",""
"    Number",""
"        Estimate","912"
"    Percent Distribution",""
"        Estimate","912"
"    Median income (dollars)",""
"        Estimate","47,500"
"Cooke County, Texas",""
"    Number",""
"        Estimate","15,351"
"    Percent Distribution",""
"        Estimate","15,351"
"    Median income (dollars)",""
"        Estimate","60,202"
"Coryell County, Texas",""
"    Number",""
"        Estimate","22,322"
"    Percent Distribution",""
"        Estimate","22,322"
"    Median income (dollars)",""
"        Estimate","52,893"
"Cottle County, Texas",""
"    Number",""
"        Estimate","707"
"    Percent Distribution",""
"        Estimate","707"
"    Median income (dollars)",""
"        Estimate","32,305"
"Crane County, Texas",""
"    Number",""
"        Estimate","1,421"
"    Percent Distribution",""
"        Estimate","1,421"
"    Median income (dollars)",""
"        Estimate","65,969"
"Crockett County, Texas",""
"    Number",""
"        Estimate","1,354"
"    Percent Distribution",""
"        Estimate","1,354"
"    Median income (dollars)",""
"        Estimate","47,386"
"Crosby County, Texas",""
"    Number",""
"        Estimate","2,061"
"    Percent Distribution",""
"        Estimate","2,061"
"    Median income (dollars)",""
"        Estimate","40,759"
"Culberson County, Texas",""
"    Number",""
"        Estimate","580"
"    Percent Distribution",""
"        Estimate","580"
"    Median income (dollars)",""
"        Estimate","37,900"
"Dallam County, Texas",""
"    Number",""
"        Estimate","2,364"
"    Percent Distribution",""
"        Estimate","2,364"
"    Median income (dollars)",""
"        Estimate","58,811"
"Dallas County, Texas",""
"    Number",""
"        Estimate","928,341"
"    Percent Distribution",""
"        Estimate","928,341"
"    Median income (dollars)",""
"        Estimate","59,607"
"Dawson County, Texas",""
"    Number",""
"        Estimate","4,322"
"    Percent Distribution",""
"        Estimate","4,322"
"    Median income (dollars)",""
"        Estimate","43,239"
"Deaf Smith County, Texas",""
"    Number",""
"        Estimate","6,145"
"    Percent Distribution",""
"        Estimate","6,145"
"    Median income (dollars)",""
"        Estimate","49,701"
"Delta County, Texas",""
"    Number",""
"        Estimate","1,999"
"    Percent Distribution",""
"        Estimate","1,999"
"    Median income (dollars)",""
"        Estimate","51,038"
"Denton County, Texas",""
"    Number",""
"        Estimate","290,229"
"    Percent Distribution",""
"        Estimate","290,229"
"    Median income (dollars)",""
"        Estimate","86,913"
"DeWitt County, Texas",""
"    Number",""
"        Estimate","7,048"
"    Percent Distribution",""
"        Estimate","7,048"
"    Median income (dollars)",""
"        Estimate","55,357"
"Dickens County, Texas",""
"    Number",""
"        Estimate","845"
"    Percent Distribution",""
"        Estimate","845"
"    Median income (dollars)",""
"        Estimate","42,540"
"Dimmit County, Texas",""
"    Number",""
"        Estimate","3,148"
"    Percent Distribution",""
"        Estimate","3,148"
"    Median income (dollars)",""
"        Estimate","27,161"
"Donley County, Texas",""
"    Number",""
"        Estimate","1,335"
"    Percent Distribution",""
"        Estimate","1,335"
"    Median income (dollars)",""
"        Estimate","42,961"
"Duval County, Texas",""
"    Number",""
"        Estimate","3,511"
"    Percent Distribution",""
"        Estimate","3,511"
"    Median income (dollars)",""
"        Estimate","41,186"
"Eastland County, Texas",""
"    Number",""
"        Estimate","6,492"
"    Percent Distribution",""
"        Estimate","6,492"
"    Median income (dollars)",""
"        Estimate","37,276"
"Ector County, Texas",""
"    Number",""
"        Estimate","52,530"
"    Percent Distribution",""
"        Estimate","52,530"
"    Median income (dollars)",""
"        Estimate","62,973"
"Edwards County, Texas",""
"    Number",""
"        Estimate","789"
"    Percent Distribution",""
"        Estimate","789"
"    Median income (dollars)",""
"        Estimate","40,766"
"Ellis County, Texas",""
"    Number",""
"        Estimate","57,307"
"    Percent Distribution",""
"        Estimate","57,307"
"    Median income (dollars)",""
"        Estimate","76,871"
"El Paso County, Texas",""
"    Number",""
"        Estimate","268,310"
"    Percent Distribution",""
"        Estimate","268,310"
"    Median income (dollars)",""
"        Estimate","46,871"
"Erath County, Texas",""
"    Number",""
"        Estimate","13,595"
"    Percent Distribution",""
"        Estimate","13,595"
"    Median income (dollars)",""
"        Estimate","52,742"
"Falls County, Texas",""
"    Number",""
"        Estimate","5,199"
"    Percent Distribution",""
"        Estimate","5,199"
"    Median income (dollars)",""
"        Estimate","39,497"
"Fannin County, Texas",""
"    Number",""
"        Estimate","12,453"
"    Percent Distribution",""
"        Estimate","12,453"
"    Median income (dollars)",""
"        Estimate","54,648"
"Fayette County, Texas",""
"    Number",""
"        Estimate","9,135"
"    Percent Distribution",""
"        Estimate","9,135"
"    Median income (dollars)",""
"        Estimate","60,189"
"Fisher County, Texas",""
"    Number",""
"        Estimate","1,601"
"    Percent Distribution",""
"        Estimate","1,601"
"    Median income (dollars)",""
"        Estimate","46,146"
"Floyd County, Texas",""
"    Number",""
"        Estimate","2,271"
"    Percent Distribution",""
"        Estimate","2,271"
"    Median income (dollars)",""
"        Estimate","50,580"
"Foard County, Texas",""
"    Number",""
"        Estimate","533"
"    Percent Distribution",""
"        Estimate","533"
"    Median income (dollars)",""
"        Estimate","43,625"
"Fort Bend County, Texas",""
"    Number",""
"        Estimate","237,883"
"    Percent Distribution",""
"        Estimate","237,883"
"    Median income (dollars)",""
"        Estimate","97,743"
"Franklin County, Texas",""
"    Number",""
"        Estimate","3,965"
"    Percent Distribution",""
"        Estimate","3,965"
"    Median income (dollars)",""
"        Estimate","53,783"
"Freestone County, Texas",""
"    Number",""
"        Estimate","6,758"
"    Percent Distribution",""
"        Estimate","6,758"
"    Median income (dollars)",""
"        Estimate","49,471"
"Frio County, Texas",""
"    Number",""
"        Estimate","4,542"
"    Percent Distribution",""
"        Estimate","4,542"
"    Median income (dollars)",""
"        Estimate","46,729"
"Gaines County, Texas",""
"    Number",""
"        Estimate","5,812"
"    Percent Distribution",""
"        Estimate","5,812"
"    Median income (dollars)",""
"        Estimate","63,054"
"Galveston County, Texas",""
"    Number",""
"        Estimate","121,438"
"    Percent Distribution",""
"        Estimate","121,438"
"    Median income (dollars)",""
"        Estimate","73,330"
"Garza County, Texas",""
"    Number",""
"        Estimate","1,543"
"    Percent Distribution",""
"        Estimate","1,543"
"    Median income (dollars)",""
"        Estimate","49,627"
"Gillespie County, Texas",""
"    Number",""
"        Estimate","10,694"
"    Percent Distribution",""
"        Estimate","10,694"
"    Median income (dollars)",""
"        Estimate","59,155"
"Glasscock County, Texas",""
"    Number",""
"        Estimate","403"
"    Percent Distribution",""
"        Estimate","403"
"    Median income (dollars)",""
"        Estimate","78,456"
"Goliad County, Texas",""
"    Number",""
"        Estimate","2,727"
"    Percent Distribution",""
"        Estimate","2,727"
"    Median income (dollars)",""
"        Estimate","60,690"
"Gonzales County, Texas",""
"    Number",""
"        Estimate","7,364"
"    Percent Distribution",""
"        Estimate","7,364"
"    Median income (dollars)",""
"        Estimate","53,577"
"Gray County, Texas",""
"    Number",""
"        Estimate","7,884"
"    Percent Distribution",""
"        Estimate","7,884"
"    Median income (dollars)",""
"        Estimate","47,952"
"Grayson County, Texas",""
"    Number",""
"        Estimate","48,454"
"    Percent Distribution",""
"        Estimate","48,454"
"    Median income (dollars)",""
"        Estimate","54,815"
"Gregg County, Texas",""
"    Number",""
"        Estimate","45,460"
"    Percent Distribution",""
"        Estimate","45,460"
"    Median income (dollars)",""
"        Estimate","50,180"
"Grimes County, Texas",""
"    Number",""
"        Estimate","9,011"
"    Percent Distribution",""
"        Estimate","9,011"
"    Median income (dollars)",""
"        Estimate","52,913"
"Guadalupe County, Texas",""
"    Number",""
"        Estimate","54,110"
"    Percent Distribution",""
"        Estimate","54,110"
"    Median income (dollars)",""
"        Estimate","74,496"
"Hale County, Texas",""
"    Number",""
"        Estimate","10,933"
"    Percent Distribution",""
"        Estimate","10,933"
"    Median income (dollars)",""
"        Estimate","48,384"
"Hall County, Texas",""
"    Number",""
"        Estimate","1,267"
"    Percent Distribution",""
"        Estimate","1,267"
"    Median income (dollars)",""
"        Estimate","34,673"
"Hamilton County, Texas",""
"    Number",""
"        Estimate","2,989"
"    Percent Distribution",""
"        Estimate","2,989"
"    Median income (dollars)",""
"        Estimate","50,825"
"Hansford County, Texas",""
"    Number",""
"        Estimate","1,838"
"    Percent Distribution",""
"        Estimate","1,838"
"    Median income (dollars)",""
"        Estimate","38,000"
"Hardeman County, Texas",""
"    Number",""
"        Estimate","1,596"
"    Percent Distribution",""
"        Estimate","1,596"
"    Median income (dollars)",""
"        Estimate","41,859"
"Hardin County, Texas",""
"    Number",""
"        Estimate","20,626"
"    Percent Distribution",""
"        Estimate","20,626"
"    Median income (dollars)",""
"        Estimate","60,339"
"Harris County, Texas",""
"    Number",""
"        Estimate","1,605,368"
"    Percent Distribution",""
"        Estimate","1,605,368"
"    Median income (dollars)",""
"        Estimate","61,705"
"Harrison County, Texas",""
"    Number",""
"        Estimate","23,292"
"    Percent Distribution",""
"        Estimate","23,292"
"    Median income (dollars)",""
"        Estimate","52,220"
"Hartley County, Texas",""
"    Number",""
"        Estimate","1,678"
"    Percent Distribution",""
"        Estimate","1,678"
"    Median income (dollars)",""
"        Estimate","58,298"
"Haskell County, Texas",""
"    Number",""
"        Estimate","2,146"
"    Percent Distribution",""
"        Estimate","2,146"
"    Median income (dollars)",""
"        Estimate","40,313"
"Hays County, Texas",""
"    Number",""
"        Estimate","73,437"
"    Percent Distribution",""
"        Estimate","73,437"
"    Median income (dollars)",""
"        Estimate","68,717"
"Hemphill County, Texas",""
"    Number",""
"        Estimate","1,298"
"    Percent Distribution",""
"        Estimate","1,298"
"    Median income (dollars)",""
"        Estimate","70,625"
"Henderson County, Texas",""
"    Number",""
"        Estimate","30,757"
"    Percent Distribution",""
"        Estimate","30,757"
"    Median income (dollars)",""
"        Estimate","47,355"
"Hidalgo County, Texas",""
"    Number",""
"        Estimate","238,345"
"    Percent Distribution",""
"        Estimate","238,345"
"    Median income (dollars)",""
"        Estimate","40,014"
"Hill County, Texas",""
"    Number",""
"        Estimate","12,992"
"    Percent Distribution",""
"        Estimate","12,992"
"    Median income (dollars)",""
"        Estimate","53,307"
"Hockley County, Texas",""
"    Number",""
"        Estimate","7,997"
"    Percent Distribution",""
"        Estimate","7,997"
"    Median income (dollars)",""
"        Estimate","48,248"
"Hood County, Texas",""
"    Number",""
"        Estimate","22,152"
"    Percent Distribution",""
"        Estimate","22,152"
"    Median income (dollars)",""
"        Estimate","64,041"
"Hopkins County, Texas",""
"    Number",""
"        Estimate","13,424"
"    Percent Distribution",""
"        Estimate","13,424"
"    Median income (dollars)",""
"        Estimate","52,078"
"Houston County, Texas",""
"    Number",""
"        Estimate","8,252"
"    Percent Distribution",""
"        Estimate","8,252"
"    Median income (dollars)",""
"        Estimate","37,904"
"Howard County, Texas",""
"    Number",""
"        Estimate","11,064"
"    Percent Distribution",""
"        Estimate","11,064"
"    Median income (dollars)",""
"        Estimate","54,208"
"Hudspeth County, Texas",""
"    Number",""
"        Estimate","978"
"    Percent Distribution",""
"        Estimate","978"
"    Median income (dollars)",""
"        Estimate","31,677"
"Hunt County, Texas",""
"    Number",""
"        Estimate","33,189"
"    Percent Distribution",""
"        Estimate","33,189"
"    Median income (dollars)",""
"        Estimate","54,959"
"Hutchinson County, Texas",""
"    Number",""
"        Estimate","6,929"
"    Percent Distribution",""
"        Estimate","6,929"
"    Median income (dollars)",""
"        Estimate","52,524"
"Irion County, Texas",""
"    Number",""
"        Estimate","682"
"    Percent Distribution",""
"        Estimate","682"
"    Median income (dollars)",""
"        Estimate","47,500"
"Jack County, Texas",""
"    Number",""
"        Estimate","3,168"
"    Percent Distribution",""
"        Estimate","3,168"
"    Median income (dollars)",""
"        Estimate","52,045"
"Jackson County, Texas",""
"    Number",""
"        Estimate","4,917"
"    Percent Distribution",""
"        Estimate","4,917"
"    Median income (dollars)",""
"        Estimate","62,806"
"Jasper County, Texas",""
"    Number",""
"        Estimate","12,936"
"    Percent Distribution",""
"        Estimate","12,936"
"    Median income (dollars)",""
"        Estimate","44,370"
"Jeff Davis County, Texas",""
"    Number",""
"        Estimate","1,054"
"    Percent Distribution",""
"        Estimate","1,054"
"    Median income (dollars)",""
"        Estimate","53,088"
"Jefferson County, Texas",""
"    Number",""
"        Estimate","92,988"
"    Percent Distribution",""
"        Estimate","92,988"
"    Median income (dollars)",""
"        Estimate","51,248"
"Jim Hogg County, Texas",""
"    Number",""
"        Estimate","1,626"
"    Percent Distribution",""
"        Estimate","1,626"
"    Median income (dollars)",""
"        Estimate","33,382"
"Jim Wells County, Texas",""
"    Number",""
"        Estimate","12,987"
"    Percent Distribution",""
"        Estimate","12,987"
"    Median income (dollars)",""
"        Estimate","41,505"
"Johnson County, Texas",""
"    Number",""
"        Estimate","57,310"
"    Percent Distribution",""
"        Estimate","57,310"
"    Median income (dollars)",""
"        Estimate","64,359"
"Jones County, Texas",""
"    Number",""
"        Estimate","5,696"
"    Percent Distribution",""
"        Estimate","5,696"
"    Median income (dollars)",""
"        Estimate","50,344"
"Karnes County, Texas",""
"    Number",""
"        Estimate","4,282"
"    Percent Distribution",""
"        Estimate","4,282"
"    Median income (dollars)",""
"        Estimate","56,127"
"Kaufman County, Texas",""
"    Number",""
"        Estimate","38,015"
"    Percent Distribution",""
"        Estimate","38,015"
"    Median income (dollars)",""
"        Estimate","70,107"
"Kendall County, Texas",""
"    Number",""
"        Estimate","14,253"
"    Percent Distribution",""
"        Estimate","14,253"
"    Median income (dollars)",""
"        Estimate","84,747"
"Kenedy County, Texas",""
"    Number",""
"        Estimate","197"
"    Percent Distribution",""
"        Estimate","197"
"    Median income (dollars)",""
"        Estimate","38,021"
"Kent County, Texas",""
"    Number",""
"        Estimate","273"
"    Percent Distribution",""
"        Estimate","273"
"    Median income (dollars)",""
"        Estimate","44,688"
"Kerr County, Texas",""
"    Number",""
"        Estimate","21,403"
"    Percent Distribution",""
"        Estimate","21,403"
"    Median income (dollars)",""
"        Estimate","55,990"
"Kimble County, Texas",""
"    Number",""
"        Estimate","1,783"
"    Percent Distribution",""
"        Estimate","1,783"
"    Median income (dollars)",""
"        Estimate","43,328"
"King County, Texas",""
"    Number",""
"        Estimate","77"
"    Percent Distribution",""
"        Estimate","77"
"    Median income (dollars)",""
"        Estimate","52,083"
"Kinney County, Texas",""
"    Number",""
"        Estimate","1,337"
"    Percent Distribution",""
"        Estimate","1,337"
"    Median income (dollars)",""
"        Estimate","26,738"
"Kleberg County, Texas",""
"    Number",""
"        Estimate","10,955"
"    Percent Distribution",""
"        Estimate","10,955"
"    Median income (dollars)",""
"        Estimate","43,730"
"Knox County, Texas",""
"    Number",""
"        Estimate","1,375"
"    Percent Distribution",""
"        Estimate","1,375"
"    Median income (dollars)",""
"        Estimate","48,798"
"Lamar County, Texas",""
"    Number",""
"        Estimate","19,793"
"    Percent Distribution",""
"        Estimate","19,793"
"    Median income (dollars)",""
"        Estimate","45,117"
"Lamb County, Texas",""
"    Number",""
"        Estimate","4,728"
"    Percent Distribution",""
"        Estimate","4,728"
"    Median income (dollars)",""
"        Estimate","45,111"
"Lampasas County, Texas",""
"    Number",""
"        Estimate","7,807"
"    Percent Distribution",""
"        Estimate","7,807"
"    Median income (dollars)",""
"        Estimate","60,772"
"La Salle County, Texas",""
"    Number",""
"        Estimate","2,269"
"    Percent Distribution",""
"        Estimate","2,269"
"    Median income (dollars)",""
"        Estimate","50,151"
"Lavaca County, Texas",""
"    Number",""
"        Estimate","7,826"
"    Percent Distribution",""
"        Estimate","7,826"
"    Median income (dollars)",""
"        Estimate","54,403"
"Lee County, Texas",""
"    Number",""
"        Estimate","6,036"
"    Percent Distribution",""
"        Estimate","6,036"
"    Median income (dollars)",""
"        Estimate","54,744"
"Leon County, Texas",""
"    Number",""
"        Estimate","6,443"
"    Percent Distribution",""
"        Estimate","6,443"
"    Median income (dollars)",""
"        Estimate","43,045"
"Liberty County, Texas",""
"    Number",""
"        Estimate","26,873"
"    Percent Distribution",""
"        Estimate","26,873"
"    Median income (dollars)",""
"        Estimate","51,494"
"Limestone County, Texas",""
"    Number",""
"        Estimate","8,377"
"    Percent Distribution",""
"        Estimate","8,377"
"    Median income (dollars)",""
"        Estimate","44,418"
"Lipscomb County, Texas",""
"    Number",""
"        Estimate","1,192"
"    Percent Distribution",""
"        Estimate","1,192"
"    Median income (dollars)",""
"        Estimate","59,091"
"Live Oak County, Texas",""
"    Number",""
"        Estimate","3,752"
"    Percent Distribution",""
"        Estimate","3,752"
"    Median income (dollars)",""
"        Estimate","53,848"
"Llano County, Texas",""
"    Number",""
"        Estimate","8,678"
"    Percent Distribution",""
"        Estimate","8,678"
"    Median income (dollars)",""
"        Estimate","53,411"
"Loving County, Texas",""
"    Number",""
"        Estimate","30"
"    Percent Distribution",""
"        Estimate","30"
"    Median income (dollars)",""
"        Estimate","83,750"
"Lubbock County, Texas",""
"    Number",""
"        Estimate","113,488"
"    Percent Distribution",""
"        Estimate","113,488"
"    Median income (dollars)",""
"        Estimate","52,429"
"Lynn County, Texas",""
"    Number",""
"        Estimate","2,154"
"    Percent Distribution",""
"        Estimate","2,154"
"    Median income (dollars)",""
"        Estimate","43,382"
"McCulloch County, Texas",""
"    Number",""
"        Estimate","3,143"
"    Percent Distribution",""
"        Estimate","3,143"
"    Median income (dollars)",""
"        Estimate","47,707"
"McLennan County, Texas",""
"    Number",""
"        Estimate","90,054"
"    Percent Distribution",""
"        Estimate","90,054"
"    Median income (dollars)",""
"        Estimate","49,778"
"McMullen County, Texas",""
"    Number",""
"        Estimate","270"
"    Percent Distribution",""
"        Estimate","270"
"    Median income (dollars)",""
"        Estimate","62,000"
"Madison County, Texas",""
"    Number",""
"        Estimate","4,269"
"    Percent Distribution",""
"        Estimate","4,269"
"    Median income (dollars)",""
"        Estimate","52,664"
"Marion County, Texas",""
"    Number",""
"        Estimate","4,715"
"    Percent Distribution",""
"        Estimate","4,715"
"    Median income (dollars)",""
"        Estimate","37,662"
"Martin County, Texas",""
"    Number",""
"        Estimate","1,694"
"    Percent Distribution",""
"        Estimate","1,694"
"    Median income (dollars)",""
"        Estimate","66,610"
"Mason County, Texas",""
"    Number",""
"        Estimate","1,696"
"    Percent Distribution",""
"        Estimate","1,696"
"    Median income (dollars)",""
"        Estimate","42,276"
"Matagorda County, Texas",""
"    Number",""
"        Estimate","13,848"
"    Percent Distribution",""
"        Estimate","13,848"
"    Median income (dollars)",""
"        Estimate","48,913"
"Maverick County, Texas",""
"    Number",""
"        Estimate","16,286"
"    Percent Distribution",""
"        Estimate","16,286"
"    Median income (dollars)",""
"        Estimate","39,625"
"Medina County, Texas",""
"    Number",""
"        Estimate","15,682"
"    Percent Distribution",""
"        Estimate","15,682"
"    Median income (dollars)",""
"        Estimate","62,599"
"Menard County, Texas",""
"    Number",""
"        Estimate","1,014"
"    Percent Distribution",""
"        Estimate","1,014"
"    Median income (dollars)",""
"        Estimate","36,395"
"Midland County, Texas",""
"    Number",""
"        Estimate","56,998"
"    Percent Distribution",""
"        Estimate","56,998"
"    Median income (dollars)",""
"        Estimate","79,421"
"Milam County, Texas",""
"    Number",""
"        Estimate","9,228"
"    Percent Distribution",""
"        Estimate","9,228"
"    Median income (dollars)",""
"        Estimate","47,902"
"Mills County, Texas",""
"    Number",""
"        Estimate","1,790"
"    Percent Distribution",""
"        Estimate","1,790"
"    Median income (dollars)",""
"        Estimate","49,306"
"Mitchell County, Texas",""
"    Number",""
"        Estimate","2,382"
"    Percent Distribution",""
"        Estimate","2,382"
"    Median income (dollars)",""
"        Estimate","51,492"
"Montague County, Texas",""
"    Number",""
"        Estimate","7,800"
"    Percent Distribution",""
"        Estimate","7,800"
"    Median income (dollars)",""
"        Estimate","51,765"
"Montgomery County, Texas",""
"    Number",""
"        Estimate","198,649"
"    Percent Distribution",""
"        Estimate","198,649"
"    Median income (dollars)",""
"        Estimate","80,902"
"Moore County, Texas",""
"    Number",""
"        Estimate","6,733"
"    Percent Distribution",""
"        Estimate","6,733"
"    Median income (dollars)",""
"        Estimate","54,871"
"Morris County, Texas",""
"    Number",""
"        Estimate","5,117"
"    Percent Distribution",""
"        Estimate","5,117"
"    Median income (dollars)",""
"        Estimate","41,359"
