"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Brazoria County, Texas",""
"    Number",""
"        Estimate","118,762"
"    Percent Distribution",""
"        Estimate","118,762"
"    Median income (dollars)",""
"        Estimate","79,270"
"Brazos County, Texas",""
"    Number",""
"        Estimate","79,053"
"    Percent Distribution",""
"        Estimate","79,053"
"    Median income (dollars)",""
"        Estimate","46,839"
"Brewster County, Texas",""
"    Number",""
"        Estimate","3,942"
"    Percent Distribution",""
"        Estimate","3,942"
"    Median income (dollars)",""
"        Estimate","43,894"
"Briscoe County, Texas",""
"    Number",""
"        Estimate","632"
"    Percent Distribution",""
"        Estimate","632"
"    Median income (dollars)",""
"        Estimate","42,647"
"Brooks County, Texas",""
"    Number",""
"        Estimate","2,052"
"    Percent Distribution",""
"        Estimate","2,052"
"    Median income (dollars)",""
"        Estimate","27,378"
"Brown County, Texas",""
"    Number",""
"        Estimate","14,016"
"    Percent Distribution",""
"        Estimate","14,016"
"    Median income (dollars)",""
"        Estimate","45,457"
"Burleson County, Texas",""
"    Number",""
"        Estimate","6,754"
"    Percent Distribution",""
"        Estimate","6,754"
"    Median income (dollars)",""
"        Estimate","56,235"
"Burnet County, Texas",""
"    Number",""
"        Estimate","16,849"
"    Percent Distribution",""
"        Estimate","16,849"
"    Median income (dollars)",""
"        Estimate","59,238"
"Caldwell County, Texas",""
"    Number",""
"        Estimate","13,225"
"    Percent Distribution",""
"        Estimate","13,225"
"    Median income (dollars)",""
"        Estimate","52,278"
"Calhoun County, Texas",""
"    Number",""
"        Estimate","7,604"
"    Percent Distribution",""
"        Estimate","7,604"
"    Median income (dollars)",""
"        Estimate","55,469"
"Callahan County, Texas",""
"    Number",""
"        Estimate","5,319"
"    Percent Distribution",""
"        Estimate","5,319"
"    Median income (dollars)",""
"        Estimate","44,602"
"Cameron County, Texas",""
"    Number",""
"        Estimate","123,185"
"    Percent Distribution",""
"        Estimate","123,185"
"    Median income (dollars)",""
"        Estimate","37,132"
"Camp County, Texas",""
"    Number",""
"        Estimate","4,692"
"    Percent Distribution",""
"        Estimate","4,692"
"    Median income (dollars)",""
"        Estimate","42,604"
"Carson County, Texas",""
"    Number",""
"        Estimate","2,247"
"    Percent Distribution",""
"        Estimate","2,247"
"    Median income (dollars)",""
"        Estimate","70,087"
"Cass County, Texas",""
"    Number",""
"        Estimate","11,789"
"    Percent Distribution",""
"        Estimate","11,789"
"    Median income (dollars)",""
"        Estimate","45,345"
"Castro County, Texas",""
"    Number",""
"        Estimate","2,532"
"    Percent Distribution",""
"        Estimate","2,532"
"    Median income (dollars)",""
"        Estimate","45,000"
"Chambers County, Texas",""
"    Number",""
"        Estimate","13,529"
"    Percent Distribution",""
"        Estimate","13,529"
"    Median income (dollars)",""
"        Estimate","76,850"
"Cherokee County, Texas",""
"    Number",""
"        Estimate","17,940"
"    Percent Distribution",""
"        Estimate","17,940"
"    Median income (dollars)",""
"        Estimate","46,044"
"Childress County, Texas",""
"    Number",""
"        Estimate","2,235"
"    Percent Distribution",""
"        Estimate","2,235"
"    Median income (dollars)",""
"        Estimate","40,794"
"Clay County, Texas",""
"    Number",""
"        Estimate","4,045"
"    Percent Distribution",""
"        Estimate","4,045"
"    Median income (dollars)",""
"        Estimate","51,191"
"Cochran County, Texas",""
"    Number",""
"        Estimate","996"
"    Percent Distribution",""
"        Estimate","996"
"    Median income (dollars)",""
"        Estimate","42,798"
"Coke County, Texas",""
"    Number",""
"        Estimate","1,617"
"    Percent Distribution",""
"        Estimate","1,617"
"    Median income (dollars)",""
"        Estimate","45,551"
"Coleman County, Texas",""
"    Number",""
"        Estimate","3,460"
"    Percent Distribution",""
"        Estimate","3,460"
"    Median income (dollars)",""
"        Estimate","43,981"
"Collin County, Texas",""
"    Number",""
"        Estimate","331,336"
"    Percent Distribution",""
"        Estimate","331,336"
"    Median income (dollars)",""
"        Estimate","94,192"
"Collingsworth County, Texas",""
"    Number",""
"        Estimate","1,055"
"    Percent Distribution",""
"        Estimate","1,055"
"    Median income (dollars)",""
"        Estimate","42,750"
"Colorado County, Texas",""
"    Number",""
"        Estimate","7,511"
"    Percent Distribution",""
"        Estimate","7,511"
"    Median income (dollars)",""
"        Estimate","49,504"
"Comal County, Texas",""
"    Number",""
"        Estimate","48,903"
"    Percent Distribution",""
"        Estimate","48,903"
"    Median income (dollars)",""
"        Estimate","75,356"
"Comanche County, Texas",""
"    Number",""
"        Estimate","5,260"
"    Percent Distribution",""
"        Estimate","5,260"
"    Median income (dollars)",""
"        Estimate","47,893"
"Concho County, Texas",""
"    Number",""
"        Estimate","873"
"    Percent Distribution",""
"        Estimate","873"
"    Median income (dollars)",""
"        Estimate","43,355"
"Cooke County, Texas",""
"    Number",""
"        Estimate","15,368"
"    Percent Distribution",""
"        Estimate","15,368"
"    Median income (dollars)",""
"        Estimate","57,646"
"Coryell County, Texas",""
"    Number",""
"        Estimate","22,314"
"    Percent Distribution",""
"        Estimate","22,314"
"    Median income (dollars)",""
"        Estimate","51,440"
"Cottle County, Texas",""
"    Number",""
"        Estimate","686"
"    Percent Distribution",""
"        Estimate","686"
"    Median income (dollars)",""
"        Estimate","34,375"
"Crane County, Texas",""
"    Number",""
"        Estimate","1,422"
"    Percent Distribution",""
"        Estimate","1,422"
"    Median income (dollars)",""
"        Estimate","70,398"
"Crockett County, Texas",""
"    Number",""
"        Estimate","1,388"
"    Percent Distribution",""
"        Estimate","1,388"
"    Median income (dollars)",""
"        Estimate","51,152"
"Crosby County, Texas",""
"    Number",""
"        Estimate","2,044"
"    Percent Distribution",""
"        Estimate","2,044"
"    Median income (dollars)",""
"        Estimate","37,899"
"Culberson County, Texas",""
"    Number",""
"        Estimate","681"
"    Percent Distribution",""
"        Estimate","681"
"    Median income (dollars)",""
"        Estimate","33,417"
"Dallam County, Texas",""
"    Number",""
"        Estimate","2,404"
"    Percent Distribution",""
"        Estimate","2,404"
"    Median income (dollars)",""
"        Estimate","51,250"
"Dallas County, Texas",""
"    Number",""
"        Estimate","917,276"
"    Percent Distribution",""
"        Estimate","917,276"
"    Median income (dollars)",""
"        Estimate","56,854"
"Dawson County, Texas",""
"    Number",""
"        Estimate","4,322"
"    Percent Distribution",""
"        Estimate","4,322"
"    Median income (dollars)",""
"        Estimate","44,657"
"Deaf Smith County, Texas",""
"    Number",""
"        Estimate","6,139"
"    Percent Distribution",""
"        Estimate","6,139"
"    Median income (dollars)",""
"        Estimate","51,841"
"Delta County, Texas",""
"    Number",""
"        Estimate","2,015"
"    Percent Distribution",""
"        Estimate","2,015"
"    Median income (dollars)",""
"        Estimate","46,138"
"Denton County, Texas",""
"    Number",""
"        Estimate","283,250"
"    Percent Distribution",""
"        Estimate","283,250"
"    Median income (dollars)",""
"        Estimate","83,376"
"DeWitt County, Texas",""
"    Number",""
"        Estimate","7,088"
"    Percent Distribution",""
"        Estimate","7,088"
"    Median income (dollars)",""
"        Estimate","53,779"
"Dickens County, Texas",""
"    Number",""
"        Estimate","842"
"    Percent Distribution",""
"        Estimate","842"
"    Median income (dollars)",""
"        Estimate","41,618"
"Dimmit County, Texas",""
"    Number",""
"        Estimate","3,309"
"    Percent Distribution",""
"        Estimate","3,309"
"    Median income (dollars)",""
"        Estimate","27,832"
"Donley County, Texas",""
"    Number",""
"        Estimate","1,290"
"    Percent Distribution",""
"        Estimate","1,290"
"    Median income (dollars)",""
"        Estimate","43,224"
"Duval County, Texas",""
"    Number",""
"        Estimate","3,511"
"    Percent Distribution",""
"        Estimate","3,511"
"    Median income (dollars)",""
"        Estimate","37,382"
"Eastland County, Texas",""
"    Number",""
"        Estimate","6,460"
"    Percent Distribution",""
"        Estimate","6,460"
"    Median income (dollars)",""
"        Estimate","35,325"
"Ector County, Texas",""
"    Number",""
"        Estimate","51,954"
"    Percent Distribution",""
"        Estimate","51,954"
"    Median income (dollars)",""
"        Estimate","60,676"
"Edwards County, Texas",""
"    Number",""
"        Estimate","686"
"    Percent Distribution",""
"        Estimate","686"
"    Median income (dollars)",""
"        Estimate","40,313"
"Ellis County, Texas",""
"    Number",""
"        Estimate","55,840"
"    Percent Distribution",""
"        Estimate","55,840"
"    Median income (dollars)",""
"        Estimate","72,213"
"El Paso County, Texas",""
"    Number",""
"        Estimate","265,724"
"    Percent Distribution",""
"        Estimate","265,724"
"    Median income (dollars)",""
"        Estimate","44,597"
"Erath County, Texas",""
"    Number",""
"        Estimate","13,961"
"    Percent Distribution",""
"        Estimate","13,961"
"    Median income (dollars)",""
"        Estimate","48,819"
"Falls County, Texas",""
"    Number",""
"        Estimate","5,237"
"    Percent Distribution",""
"        Estimate","5,237"
"    Median income (dollars)",""
"        Estimate","38,032"
"Fannin County, Texas",""
"    Number",""
"        Estimate","12,231"
"    Percent Distribution",""
"        Estimate","12,231"
"    Median income (dollars)",""
"        Estimate","50,761"
"Fayette County, Texas",""
"    Number",""
"        Estimate","9,067"
"    Percent Distribution",""
"        Estimate","9,067"
"    Median income (dollars)",""
"        Estimate","56,297"
"Fisher County, Texas",""
"    Number",""
"        Estimate","1,649"
"    Percent Distribution",""
"        Estimate","1,649"
"    Median income (dollars)",""
"        Estimate","46,827"
"Floyd County, Texas",""
"    Number",""
"        Estimate","2,328"
"    Percent Distribution",""
"        Estimate","2,328"
"    Median income (dollars)",""
"        Estimate","48,555"
"Foard County, Texas",""
"    Number",""
"        Estimate","557"
"    Percent Distribution",""
"        Estimate","557"
"    Median income (dollars)",""
"        Estimate","46,354"
"Fort Bend County, Texas",""
"    Number",""
"        Estimate","230,381"
"    Percent Distribution",""
"        Estimate","230,381"
"    Median income (dollars)",""
"        Estimate","95,561"
"Franklin County, Texas",""
"    Number",""
"        Estimate","3,806"
"    Percent Distribution",""
"        Estimate","3,806"
"    Median income (dollars)",""
"        Estimate","52,944"
"Freestone County, Texas",""
"    Number",""
"        Estimate","6,865"
"    Percent Distribution",""
"        Estimate","6,865"
"    Median income (dollars)",""
"        Estimate","48,731"
"Frio County, Texas",""
"    Number",""
"        Estimate","4,624"
"    Percent Distribution",""
"        Estimate","4,624"
"    Median income (dollars)",""
"        Estimate","42,476"
"Gaines County, Texas",""
"    Number",""
"        Estimate","5,737"
"    Percent Distribution",""
"        Estimate","5,737"
"    Median income (dollars)",""
"        Estimate","59,032"
"Galveston County, Texas",""
"    Number",""
"        Estimate","119,181"
"    Percent Distribution",""
"        Estimate","119,181"
"    Median income (dollars)",""
"        Estimate","69,369"
"Garza County, Texas",""
"    Number",""
"        Estimate","1,628"
"    Percent Distribution",""
"        Estimate","1,628"
"    Median income (dollars)",""
"        Estimate","55,039"
"Gillespie County, Texas",""
"    Number",""
"        Estimate","10,717"
"    Percent Distribution",""
"        Estimate","10,717"
"    Median income (dollars)",""
"        Estimate","58,325"
"Glasscock County, Texas",""
"    Number",""
"        Estimate","432"
"    Percent Distribution",""
"        Estimate","432"
"    Median income (dollars)",""
"        Estimate","75,833"
"Goliad County, Texas",""
"    Number",""
"        Estimate","2,681"
"    Percent Distribution",""
"        Estimate","2,681"
"    Median income (dollars)",""
"        Estimate","60,492"
"Gonzales County, Texas",""
"    Number",""
"        Estimate","7,214"
"    Percent Distribution",""
"        Estimate","7,214"
"    Median income (dollars)",""
"        Estimate","53,006"
"Gray County, Texas",""
"    Number",""
"        Estimate","8,000"
"    Percent Distribution",""
"        Estimate","8,000"
"    Median income (dollars)",""
"        Estimate","47,170"
"Grayson County, Texas",""
"    Number",""
"        Estimate","47,957"
"    Percent Distribution",""
"        Estimate","47,957"
"    Median income (dollars)",""
"        Estimate","54,370"
"Gregg County, Texas",""
"    Number",""
"        Estimate","45,532"
"    Percent Distribution",""
"        Estimate","45,532"
"    Median income (dollars)",""
"        Estimate","49,287"
"Grimes County, Texas",""
"    Number",""
"        Estimate","8,793"
"    Percent Distribution",""
"        Estimate","8,793"
"    Median income (dollars)",""
"        Estimate","50,298"
"Guadalupe County, Texas",""
"    Number",""
"        Estimate","53,107"
"    Percent Distribution",""
"        Estimate","53,107"
"    Median income (dollars)",""
"        Estimate","70,931"
"Hale County, Texas",""
"    Number",""
"        Estimate","11,146"
"    Percent Distribution",""
"        Estimate","11,146"
"    Median income (dollars)",""
"        Estimate","47,080"
"Hall County, Texas",""
"    Number",""
"        Estimate","1,301"
"    Percent Distribution",""
"        Estimate","1,301"
"    Median income (dollars)",""
"        Estimate","32,921"
"Hamilton County, Texas",""
"    Number",""
"        Estimate","3,108"
"    Percent Distribution",""
"        Estimate","3,108"
"    Median income (dollars)",""
"        Estimate","47,500"
"Hansford County, Texas",""
"    Number",""
"        Estimate","1,855"
"    Percent Distribution",""
"        Estimate","1,855"
"    Median income (dollars)",""
"        Estimate","39,229"
"Hardeman County, Texas",""
"    Number",""
"        Estimate","1,519"
"    Percent Distribution",""
"        Estimate","1,519"
"    Median income (dollars)",""
"        Estimate","42,238"
"Hardin County, Texas",""
"    Number",""
"        Estimate","20,385"
"    Percent Distribution",""
"        Estimate","20,385"
"    Median income (dollars)",""
"        Estimate","59,105"
"Harris County, Texas",""
"    Number",""
"        Estimate","1,583,486"
"    Percent Distribution",""
"        Estimate","1,583,486"
"    Median income (dollars)",""
"        Estimate","60,146"
"Harrison County, Texas",""
"    Number",""
"        Estimate","23,217"
"    Percent Distribution",""
"        Estimate","23,217"
"    Median income (dollars)",""
"        Estimate","51,202"
"Hartley County, Texas",""
"    Number",""
"        Estimate","1,681"
"    Percent Distribution",""
"        Estimate","1,681"
"    Median income (dollars)",""
"        Estimate","59,280"
"Haskell County, Texas",""
"    Number",""
"        Estimate","2,125"
"    Percent Distribution",""
"        Estimate","2,125"
"    Median income (dollars)",""
"        Estimate","46,013"
"Hays County, Texas",""
"    Number",""
"        Estimate","70,881"
"    Percent Distribution",""
"        Estimate","70,881"
"    Median income (dollars)",""
"        Estimate","65,935"
"Hemphill County, Texas",""
"    Number",""
"        Estimate","1,323"
"    Percent Distribution",""
"        Estimate","1,323"
"    Median income (dollars)",""
"        Estimate","63,778"
"Henderson County, Texas",""
"    Number",""
"        Estimate","30,885"
"    Percent Distribution",""
"        Estimate","30,885"
"    Median income (dollars)",""
"        Estimate","45,798"
"Hidalgo County, Texas",""
"    Number",""
"        Estimate","234,879"
"    Percent Distribution",""
"        Estimate","234,879"
"    Median income (dollars)",""
"        Estimate","38,398"
"Hill County, Texas",""
"    Number",""
"        Estimate","12,769"
"    Percent Distribution",""
"        Estimate","12,769"
"    Median income (dollars)",""
"        Estimate","48,823"
"Hockley County, Texas",""
"    Number",""
"        Estimate","7,946"
"    Percent Distribution",""
"        Estimate","7,946"
"    Median income (dollars)",""
"        Estimate","48,116"
"Hood County, Texas",""
"    Number",""
"        Estimate","21,969"
"    Percent Distribution",""
"        Estimate","21,969"
"    Median income (dollars)",""
"        Estimate","59,049"
"Hopkins County, Texas",""
"    Number",""
"        Estimate","13,405"
"    Percent Distribution",""
"        Estimate","13,405"
"    Median income (dollars)",""
"        Estimate","51,877"
"Houston County, Texas",""
"    Number",""
"        Estimate","8,209"
"    Percent Distribution",""
"        Estimate","8,209"
"    Median income (dollars)",""
"        Estimate","34,297"
"Howard County, Texas",""
"    Number",""
"        Estimate","11,036"
"    Percent Distribution",""
"        Estimate","11,036"
"    Median income (dollars)",""
"        Estimate","51,528"
"Hudspeth County, Texas",""
"    Number",""
"        Estimate","900"
"    Percent Distribution",""
"        Estimate","900"
"    Median income (dollars)",""
"        Estimate","29,318"
"Hunt County, Texas",""
"    Number",""
"        Estimate","32,369"
"    Percent Distribution",""
"        Estimate","32,369"
"    Median income (dollars)",""
"        Estimate","51,928"
"Hutchinson County, Texas",""
"    Number",""
"        Estimate","7,191"
"    Percent Distribution",""
"        Estimate","7,191"
"    Median income (dollars)",""
"        Estimate","50,651"
"Irion County, Texas",""
"    Number",""
"        Estimate","634"
"    Percent Distribution",""
"        Estimate","634"
"    Median income (dollars)",""
"        Estimate","54,706"
"Jack County, Texas",""
"    Number",""
"        Estimate","3,160"
"    Percent Distribution",""
"        Estimate","3,160"
"    Median income (dollars)",""
"        Estimate","51,700"
"Jackson County, Texas",""
"    Number",""
"        Estimate","5,237"
"    Percent Distribution",""
"        Estimate","5,237"
"    Median income (dollars)",""
"        Estimate","60,276"
"Jasper County, Texas",""
"    Number",""
"        Estimate","12,583"
"    Percent Distribution",""
"        Estimate","12,583"
"    Median income (dollars)",""
"        Estimate","46,088"
"Jeff Davis County, Texas",""
"    Number",""
"        Estimate","1,050"
"    Percent Distribution",""
"        Estimate","1,050"
"    Median income (dollars)",""
"        Estimate","53,194"
"Jefferson County, Texas",""
"    Number",""
"        Estimate","94,002"
"    Percent Distribution",""
"        Estimate","94,002"
"    Median income (dollars)",""
"        Estimate","48,463"
"Jim Hogg County, Texas",""
"    Number",""
"        Estimate","1,710"
"    Percent Distribution",""
"        Estimate","1,710"
"    Median income (dollars)",""
"        Estimate","32,049"
"Jim Wells County, Texas",""
"    Number",""
"        Estimate","13,043"
"    Percent Distribution",""
"        Estimate","13,043"
"    Median income (dollars)",""
"        Estimate","42,005"
"Johnson County, Texas",""
"    Number",""
"        Estimate","56,433"
"    Percent Distribution",""
"        Estimate","56,433"
"    Median income (dollars)",""
"        Estimate","62,066"
"Jones County, Texas",""
"    Number",""
"        Estimate","5,593"
"    Percent Distribution",""
"        Estimate","5,593"
"    Median income (dollars)",""
"        Estimate","45,694"
"Karnes County, Texas",""
"    Number",""
"        Estimate","4,246"
"    Percent Distribution",""
"        Estimate","4,246"
"    Median income (dollars)",""
"        Estimate","52,252"
"Kaufman County, Texas",""
"    Number",""
"        Estimate","37,364"
"    Percent Distribution",""
"        Estimate","37,364"
"    Median income (dollars)",""
"        Estimate","65,390"
"Kendall County, Texas",""
"    Number",""
"        Estimate","14,159"
"    Percent Distribution",""
"        Estimate","14,159"
"    Median income (dollars)",""
"        Estimate","82,390"
"Kenedy County, Texas",""
"    Number",""
"        Estimate","209"
"    Percent Distribution",""
"        Estimate","209"
"    Median income (dollars)",""
"        Estimate","36,125"
"Kent County, Texas",""
"    Number",""
"        Estimate","318"
"    Percent Distribution",""
"        Estimate","318"
"    Median income (dollars)",""
"        Estimate","45,926"
"Kerr County, Texas",""
"    Number",""
"        Estimate","20,766"
"    Percent Distribution",""
"        Estimate","20,766"
"    Median income (dollars)",""
"        Estimate","52,473"
"Kimble County, Texas",""
"    Number",""
"        Estimate","1,948"
"    Percent Distribution",""
"        Estimate","1,948"
"    Median income (dollars)",""
"        Estimate","42,500"
"King County, Texas",""
"    Number",""
"        Estimate","91"
"    Percent Distribution",""
"        Estimate","91"
"    Median income (dollars)",""
"        Estimate","65,125"
"Kinney County, Texas",""
"    Number",""
"        Estimate","1,170"
"    Percent Distribution",""
"        Estimate","1,170"
"    Median income (dollars)",""
"        Estimate","31,468"
"Kleberg County, Texas",""
"    Number",""
"        Estimate","10,946"
"    Percent Distribution",""
"        Estimate","10,946"
"    Median income (dollars)",""
"        Estimate","42,021"
"Knox County, Texas",""
"    Number",""
"        Estimate","1,330"
"    Percent Distribution",""
"        Estimate","1,330"
"    Median income (dollars)",""
"        Estimate","46,146"
"Lamar County, Texas",""
"    Number",""
"        Estimate","19,313"
"    Percent Distribution",""
"        Estimate","19,313"
"    Median income (dollars)",""
"        Estimate","43,562"
"Lamb County, Texas",""
"    Number",""
"        Estimate","4,754"
"    Percent Distribution",""
"        Estimate","4,754"
"    Median income (dollars)",""
"        Estimate","43,396"
"Lampasas County, Texas",""
"    Number",""
"        Estimate","7,738"
"    Percent Distribution",""
"        Estimate","7,738"
"    Median income (dollars)",""
"        Estimate","58,194"
"La Salle County, Texas",""
"    Number",""
"        Estimate","2,216"
"    Percent Distribution",""
"        Estimate","2,216"
"    Median income (dollars)",""
"        Estimate","51,792"
"Lavaca County, Texas",""
"    Number",""
"        Estimate","7,756"
"    Percent Distribution",""
"        Estimate","7,756"
"    Median income (dollars)",""
"        Estimate","53,021"
"Lee County, Texas",""
"    Number",""
"        Estimate","6,104"
"    Percent Distribution",""
"        Estimate","6,104"
"    Median income (dollars)",""
"        Estimate","55,000"
"Leon County, Texas",""
"    Number",""
"        Estimate","6,249"
"    Percent Distribution",""
"        Estimate","6,249"
"    Median income (dollars)",""
"        Estimate","44,818"
"Liberty County, Texas",""
"    Number",""
"        Estimate","26,203"
"    Percent Distribution",""
"        Estimate","26,203"
"    Median income (dollars)",""
"        Estimate","49,850"
"Limestone County, Texas",""
"    Number",""
"        Estimate","8,169"
"    Percent Distribution",""
"        Estimate","8,169"
"    Median income (dollars)",""
"        Estimate","42,680"
"Lipscomb County, Texas",""
"    Number",""
"        Estimate","1,256"
"    Percent Distribution",""
"        Estimate","1,256"
"    Median income (dollars)",""
"        Estimate","57,372"
"Live Oak County, Texas",""
"    Number",""
"        Estimate","3,675"
"    Percent Distribution",""
"        Estimate","3,675"
"    Median income (dollars)",""
"        Estimate","55,766"
"Llano County, Texas",""
"    Number",""
"        Estimate","8,491"
"    Percent Distribution",""
"        Estimate","8,491"
"    Median income (dollars)",""
"        Estimate","52,178"
"Loving County, Texas",""
"    Number",""
"        Estimate","33"
"    Percent Distribution",""
"        Estimate","33"
"    Median income (dollars)",""
"        Estimate","81,875"
"Lubbock County, Texas",""
"    Number",""
"        Estimate","112,185"
"    Percent Distribution",""
"        Estimate","112,185"
"    Median income (dollars)",""
"        Estimate","50,473"
"Lynn County, Texas",""
"    Number",""
"        Estimate","2,133"
"    Percent Distribution",""
"        Estimate","2,133"
"    Median income (dollars)",""
"        Estimate","43,524"
"McCulloch County, Texas",""
"    Number",""
"        Estimate","3,255"
"    Percent Distribution",""
"        Estimate","3,255"
"    Median income (dollars)",""
"        Estimate","45,329"
"McLennan County, Texas",""
"    Number",""
"        Estimate","89,034"
"    Percent Distribution",""
"        Estimate","89,034"
"    Median income (dollars)",""
"        Estimate","48,199"
"McMullen County, Texas",""
"    Number",""
"        Estimate","223"
"    Percent Distribution",""
"        Estimate","223"
"    Median income (dollars)",""
"        Estimate","68,750"
"Madison County, Texas",""
"    Number",""
"        Estimate","4,201"
"    Percent Distribution",""
"        Estimate","4,201"
"    Median income (dollars)",""
"        Estimate","49,428"
"Marion County, Texas",""
"    Number",""
"        Estimate","4,459"
"    Percent Distribution",""
"        Estimate","4,459"
"    Median income (dollars)",""
"        Estimate","37,283"
"Martin County, Texas",""
"    Number",""
"        Estimate","1,626"
"    Percent Distribution",""
"        Estimate","1,626"
"    Median income (dollars)",""
"        Estimate","69,722"
"Mason County, Texas",""
"    Number",""
"        Estimate","1,667"
"    Percent Distribution",""
"        Estimate","1,667"
"    Median income (dollars)",""
"        Estimate","40,708"
"Matagorda County, Texas",""
"    Number",""
"        Estimate","13,636"
"    Percent Distribution",""
"        Estimate","13,636"
"    Median income (dollars)",""
"        Estimate","45,500"
"Maverick County, Texas",""
"    Number",""
"        Estimate","16,307"
"    Percent Distribution",""
"        Estimate","16,307"
"    Median income (dollars)",""
"        Estimate","38,035"
"Medina County, Texas",""
"    Number",""
"        Estimate","15,470"
"    Percent Distribution",""
"        Estimate","15,470"
"    Median income (dollars)",""
"        Estimate","61,059"
"Menard County, Texas",""
"    Number",""
"        Estimate","992"
"    Percent Distribution",""
"        Estimate","992"
"    Median income (dollars)",""
"        Estimate","40,606"
"Midland County, Texas",""
"    Number",""
"        Estimate","55,980"
"    Percent Distribution",""
"        Estimate","55,980"
"    Median income (dollars)",""
"        Estimate","78,888"
"Milam County, Texas",""
"    Number",""
"        Estimate","9,381"
"    Percent Distribution",""
"        Estimate","9,381"
"    Median income (dollars)",""
"        Estimate","47,081"
"Mills County, Texas",""
"    Number",""
"        Estimate","1,750"
"    Percent Distribution",""
"        Estimate","1,750"
"    Median income (dollars)",""
"        Estimate","41,827"
"Mitchell County, Texas",""
"    Number",""
"        Estimate","2,441"
"    Percent Distribution",""
"        Estimate","2,441"
"    Median income (dollars)",""
"        Estimate","49,670"
"Montague County, Texas",""
"    Number",""
"        Estimate","7,995"
"    Percent Distribution",""
"        Estimate","7,995"
"    Median income (dollars)",""
"        Estimate","51,774"
"Montgomery County, Texas",""
"    Number",""
"        Estimate","192,823"
"    Percent Distribution",""
"        Estimate","192,823"
"    Median income (dollars)",""
"        Estimate","77,416"
"Moore County, Texas",""
"    Number",""
"        Estimate","6,626"
"    Percent Distribution",""
"        Estimate","6,626"
"    Median income (dollars)",""
"        Estimate","51,527"
"Morris County, Texas",""
"    Number",""
"        Estimate","5,048"
"    Percent Distribution",""
"        Estimate","5,048"
"    Median income (dollars)",""
"        Estimate","42,961"
"Motley County, Texas",""
