"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Motley County, Texas",""
"    Number",""
"        Estimate","469"
"    Percent Distribution",""
"        Estimate","469"
"    Median income (dollars)",""
"        Estimate","40,598"
"Nacogdoches County, Texas",""
"    Number",""
"        Estimate","23,825"
"    Percent Distribution",""
"        Estimate","23,825"
"    Median income (dollars)",""
"        Estimate","41,482"
"Navarro County, Texas",""
"    Number",""
"        Estimate","17,326"
"    Percent Distribution",""
"        Estimate","17,326"
"    Median income (dollars)",""
"        Estimate","45,103"
"Newton County, Texas",""
"    Number",""
"        Estimate","4,781"
"    Percent Distribution",""
"        Estimate","4,781"
"    Median income (dollars)",""
"        Estimate","40,180"
"Nolan County, Texas",""
"    Number",""
"        Estimate","5,552"
"    Percent Distribution",""
"        Estimate","5,552"
"    Median income (dollars)",""
"        Estimate","42,019"
"Nueces County, Texas",""
"    Number",""
"        Estimate","128,857"
"    Percent Distribution",""
"        Estimate","128,857"
"    Median income (dollars)",""
"        Estimate","53,317"
"Ochiltree County, Texas",""
"    Number",""
"        Estimate","3,549"
"    Percent Distribution",""
"        Estimate","3,549"
"    Median income (dollars)",""
"        Estimate","50,120"
"Oldham County, Texas",""
"    Number",""
"        Estimate","581"
"    Percent Distribution",""
"        Estimate","581"
"    Median income (dollars)",""
"        Estimate","62,426"
"Orange County, Texas",""
"    Number",""
"        Estimate","32,272"
"    Percent Distribution",""
"        Estimate","32,272"
"    Median income (dollars)",""
"        Estimate","53,667"
"Palo Pinto County, Texas",""
"    Number",""
"        Estimate","10,441"
"    Percent Distribution",""
"        Estimate","10,441"
"    Median income (dollars)",""
"        Estimate","45,067"
"Panola County, Texas",""
"    Number",""
"        Estimate","9,032"
"    Percent Distribution",""
"        Estimate","9,032"
"    Median income (dollars)",""
"        Estimate","49,704"
"Parker County, Texas",""
"    Number",""
"        Estimate","43,942"
"    Percent Distribution",""
"        Estimate","43,942"
"    Median income (dollars)",""
"        Estimate","70,608"
"Parmer County, Texas",""
"    Number",""
"        Estimate","3,222"
"    Percent Distribution",""
"        Estimate","3,222"
"    Median income (dollars)",""
"        Estimate","50,410"
"Pecos County, Texas",""
"    Number",""
"        Estimate","4,420"
"    Percent Distribution",""
"        Estimate","4,420"
"    Median income (dollars)",""
"        Estimate","50,543"
"Polk County, Texas",""
"    Number",""
"        Estimate","17,632"
"    Percent Distribution",""
"        Estimate","17,632"
"    Median income (dollars)",""
"        Estimate","43,267"
"Potter County, Texas",""
"    Number",""
"        Estimate","43,453"
"    Percent Distribution",""
"        Estimate","43,453"
"    Median income (dollars)",""
"        Estimate","41,852"
"Presidio County, Texas",""
"    Number",""
"        Estimate","2,589"
"    Percent Distribution",""
"        Estimate","2,589"
"    Median income (dollars)",""
"        Estimate","26,486"
"Rains County, Texas",""
"    Number",""
"        Estimate","4,333"
"    Percent Distribution",""
"        Estimate","4,333"
"    Median income (dollars)",""
"        Estimate","48,308"
"Randall County, Texas",""
"    Number",""
"        Estimate","49,118"
"    Percent Distribution",""
"        Estimate","49,118"
"    Median income (dollars)",""
"        Estimate","65,564"
"Reagan County, Texas",""
"    Number",""
"        Estimate","1,171"
"    Percent Distribution",""
"        Estimate","1,171"
"    Median income (dollars)",""
"        Estimate","59,760"
"Real County, Texas",""
"    Number",""
"        Estimate","1,123"
"    Percent Distribution",""
"        Estimate","1,123"
"    Median income (dollars)",""
"        Estimate","36,493"
"Red River County, Texas",""
"    Number",""
"        Estimate","5,218"
"    Percent Distribution",""
"        Estimate","5,218"
"    Median income (dollars)",""
"        Estimate","35,356"
"Reeves County, Texas",""
"    Number",""
"        Estimate","3,731"
"    Percent Distribution",""
"        Estimate","3,731"
"    Median income (dollars)",""
"        Estimate","49,390"
"Refugio County, Texas",""
"    Number",""
"        Estimate","2,694"
"    Percent Distribution",""
"        Estimate","2,694"
"    Median income (dollars)",""
"        Estimate","50,338"
"Roberts County, Texas",""
"    Number",""
"        Estimate","326"
"    Percent Distribution",""
"        Estimate","326"
"    Median income (dollars)",""
"        Estimate","79,167"
"Robertson County, Texas",""
"    Number",""
"        Estimate","6,298"
"    Percent Distribution",""
"        Estimate","6,298"
"    Median income (dollars)",""
"        Estimate","52,189"
"Rockwall County, Texas",""
"    Number",""
"        Estimate","30,365"
"    Percent Distribution",""
"        Estimate","30,365"
"    Median income (dollars)",""
"        Estimate","93,269"
"Runnels County, Texas",""
"    Number",""
"        Estimate","3,781"
"    Percent Distribution",""
"        Estimate","3,781"
"    Median income (dollars)",""
"        Estimate","41,226"
"Rusk County, Texas",""
"    Number",""
"        Estimate","17,982"
"    Percent Distribution",""
"        Estimate","17,982"
"    Median income (dollars)",""
"        Estimate","49,270"
"Sabine County, Texas",""
"    Number",""
"        Estimate","3,811"
"    Percent Distribution",""
"        Estimate","3,811"
"    Median income (dollars)",""
"        Estimate","33,561"
"San Augustine County, Texas",""
"    Number",""
"        Estimate","3,202"
"    Percent Distribution",""
"        Estimate","3,202"
"    Median income (dollars)",""
"        Estimate","32,394"
"San Jacinto County, Texas",""
"    Number",""
"        Estimate","9,414"
"    Percent Distribution",""
"        Estimate","9,414"
"    Median income (dollars)",""
"        Estimate","43,421"
"San Patricio County, Texas",""
"    Number",""
"        Estimate","23,246"
"    Percent Distribution",""
"        Estimate","23,246"
"    Median income (dollars)",""
"        Estimate","53,332"
"San Saba County, Texas",""
"    Number",""
"        Estimate","2,135"
"    Percent Distribution",""
"        Estimate","2,135"
"    Median income (dollars)",""
"        Estimate","40,301"
"Schleicher County, Texas",""
"    Number",""
"        Estimate","1,102"
"    Percent Distribution",""
"        Estimate","1,102"
"    Median income (dollars)",""
"        Estimate","63,432"
"Scurry County, Texas",""
"    Number",""
"        Estimate","5,838"
"    Percent Distribution",""
"        Estimate","5,838"
"    Median income (dollars)",""
"        Estimate","54,565"
"Shackelford County, Texas",""
"    Number",""
"        Estimate","1,257"
"    Percent Distribution",""
"        Estimate","1,257"
"    Median income (dollars)",""
"        Estimate","46,685"
"Shelby County, Texas",""
"    Number",""
"        Estimate","9,218"
"    Percent Distribution",""
"        Estimate","9,218"
"    Median income (dollars)",""
"        Estimate","38,121"
"Sherman County, Texas",""
"    Number",""
"        Estimate","1,063"
"    Percent Distribution",""
"        Estimate","1,063"
"    Median income (dollars)",""
"        Estimate","54,961"
"Smith County, Texas",""
"    Number",""
"        Estimate","77,801"
"    Percent Distribution",""
"        Estimate","77,801"
"    Median income (dollars)",""
"        Estimate","50,742"
"Somervell County, Texas",""
"    Number",""
"        Estimate","3,234"
"    Percent Distribution",""
"        Estimate","3,234"
"    Median income (dollars)",""
"        Estimate","52,346"
"Starr County, Texas",""
"    Number",""
"        Estimate","16,320"
"    Percent Distribution",""
"        Estimate","16,320"
"    Median income (dollars)",""
"        Estimate","27,133"
"Stephens County, Texas",""
"    Number",""
"        Estimate","3,361"
"    Percent Distribution",""
"        Estimate","3,361"
"    Median income (dollars)",""
"        Estimate","45,862"
"Sterling County, Texas",""
"    Number",""
"        Estimate","462"
"    Percent Distribution",""
"        Estimate","462"
"    Median income (dollars)",""
"        Estimate","50,000"
"Stonewall County, Texas",""
"    Number",""
"        Estimate","458"
"    Percent Distribution",""
"        Estimate","458"
"    Median income (dollars)",""
"        Estimate","46,786"
"Sutton County, Texas",""
"    Number",""
"        Estimate","1,573"
"    Percent Distribution",""
"        Estimate","1,573"
"    Median income (dollars)",""
"        Estimate","60,996"
"Swisher County, Texas",""
"    Number",""
"        Estimate","2,602"
"    Percent Distribution",""
"        Estimate","2,602"
"    Median income (dollars)",""
"        Estimate","37,883"
"Tarrant County, Texas",""
"    Number",""
"        Estimate","689,921"
"    Percent Distribution",""
"        Estimate","689,921"
"    Median income (dollars)",""
"        Estimate","62,532"
"Taylor County, Texas",""
"    Number",""
"        Estimate","49,443"
"    Percent Distribution",""
"        Estimate","49,443"
"    Median income (dollars)",""
"        Estimate","49,161"
"Terrell County, Texas",""
"    Number",""
"        Estimate","343"
"    Percent Distribution",""
"        Estimate","343"
"    Median income (dollars)",""
"        Estimate","26,063"
"Terry County, Texas",""
"    Number",""
"        Estimate","4,142"
"    Percent Distribution",""
"        Estimate","4,142"
"    Median income (dollars)",""
"        Estimate","42,441"
"Throckmorton County, Texas",""
"    Number",""
"        Estimate","712"
"    Percent Distribution",""
"        Estimate","712"
"    Median income (dollars)",""
"        Estimate","37,279"
"Titus County, Texas",""
"    Number",""
"        Estimate","10,675"
"    Percent Distribution",""
"        Estimate","10,675"
"    Median income (dollars)",""
"        Estimate","46,980"
"Tom Green County, Texas",""
"    Number",""
"        Estimate","43,081"
"    Percent Distribution",""
"        Estimate","43,081"
"    Median income (dollars)",""
"        Estimate","49,662"
"Travis County, Texas",""
"    Number",""
"        Estimate","447,561"
"    Percent Distribution",""
"        Estimate","447,561"
"    Median income (dollars)",""
"        Estimate","68,350"
"Trinity County, Texas",""
"    Number",""
"        Estimate","5,934"
"    Percent Distribution",""
"        Estimate","5,934"
"    Median income (dollars)",""
"        Estimate","37,398"
"Tyler County, Texas",""
"    Number",""
"        Estimate","7,312"
"    Percent Distribution",""
"        Estimate","7,312"
"    Median income (dollars)",""
"        Estimate","44,396"
"Upshur County, Texas",""
"    Number",""
"        Estimate","14,061"
"    Percent Distribution",""
"        Estimate","14,061"
"    Median income (dollars)",""
"        Estimate","48,796"
"Upton County, Texas",""
"    Number",""
"        Estimate","1,308"
"    Percent Distribution",""
"        Estimate","1,308"
"    Median income (dollars)",""
"        Estimate","52,750"
"Uvalde County, Texas",""
"    Number",""
"        Estimate","8,624"
"    Percent Distribution",""
"        Estimate","8,624"
"    Median income (dollars)",""
"        Estimate","40,781"
"Val Verde County, Texas",""
"    Number",""
"        Estimate","15,189"
"    Percent Distribution",""
"        Estimate","15,189"
"    Median income (dollars)",""
"        Estimate","44,609"
"Van Zandt County, Texas",""
"    Number",""
"        Estimate","19,354"
"    Percent Distribution",""
"        Estimate","19,354"
"    Median income (dollars)",""
"        Estimate","50,061"
"Victoria County, Texas",""
"    Number",""
"        Estimate","32,734"
"    Percent Distribution",""
"        Estimate","32,734"
"    Median income (dollars)",""
"        Estimate","55,740"
"Walker County, Texas",""
"    Number",""
"        Estimate","21,294"
"    Percent Distribution",""
"        Estimate","21,294"
"    Median income (dollars)",""
"        Estimate","41,456"
"Waller County, Texas",""
"    Number",""
"        Estimate","14,698"
"    Percent Distribution",""
"        Estimate","14,698"
"    Median income (dollars)",""
"        Estimate","53,506"
"Ward County, Texas",""
"    Number",""
"        Estimate","3,954"
"    Percent Distribution",""
"        Estimate","3,954"
"    Median income (dollars)",""
"        Estimate","63,333"
"Washington County, Texas",""
"    Number",""
"        Estimate","12,205"
"    Percent Distribution",""
"        Estimate","12,205"
"    Median income (dollars)",""
"        Estimate","55,793"
"Webb County, Texas",""
"    Number",""
"        Estimate","72,379"
"    Percent Distribution",""
"        Estimate","72,379"
"    Median income (dollars)",""
"        Estimate","40,442"
"Wharton County, Texas",""
"    Number",""
"        Estimate","15,224"
"    Percent Distribution",""
"        Estimate","15,224"
"    Median income (dollars)",""
"        Estimate","50,145"
"Wheeler County, Texas",""
"    Number",""
"        Estimate","2,287"
"    Percent Distribution",""
"        Estimate","2,287"
"    Median income (dollars)",""
"        Estimate","50,910"
"Wichita County, Texas",""
"    Number",""
"        Estimate","48,528"
"    Percent Distribution",""
"        Estimate","48,528"
"    Median income (dollars)",""
"        Estimate","45,776"
"Wilbarger County, Texas",""
"    Number",""
"        Estimate","5,155"
"    Percent Distribution",""
"        Estimate","5,155"
"    Median income (dollars)",""
"        Estimate","43,913"
"Willacy County, Texas",""
"    Number",""
"        Estimate","5,737"
"    Percent Distribution",""
"        Estimate","5,737"
"    Median income (dollars)",""
"        Estimate","29,104"
"Williamson County, Texas",""
"    Number",""
"        Estimate","170,051"
"    Percent Distribution",""
"        Estimate","170,051"
"    Median income (dollars)",""
"        Estimate","79,123"
"Wilson County, Texas",""
"    Number",""
"        Estimate","15,755"
"    Percent Distribution",""
"        Estimate","15,755"
"    Median income (dollars)",""
"        Estimate","71,942"
"Winkler County, Texas",""
"    Number",""
"        Estimate","2,524"
"    Percent Distribution",""
"        Estimate","2,524"
"    Median income (dollars)",""
"        Estimate","55,000"
"Wise County, Texas",""
"    Number",""
"        Estimate","21,691"
"    Percent Distribution",""
"        Estimate","21,691"
"    Median income (dollars)",""
"        Estimate","59,081"
"Wood County, Texas",""
"    Number",""
"        Estimate","16,122"
"    Percent Distribution",""
"        Estimate","16,122"
"    Median income (dollars)",""
"        Estimate","48,038"
"Yoakum County, Texas",""
"    Number",""
"        Estimate","2,652"
"    Percent Distribution",""
"        Estimate","2,652"
"    Median income (dollars)",""
"        Estimate","62,500"
"Young County, Texas",""
"    Number",""
"        Estimate","7,066"
"    Percent Distribution",""
"        Estimate","7,066"
"    Median income (dollars)",""
"        Estimate","46,351"
"Zapata County, Texas",""
"    Number",""
"        Estimate","4,457"
"    Percent Distribution",""
"        Estimate","4,457"
"    Median income (dollars)",""
"        Estimate","34,550"
"Zavala County, Texas",""
"    Number",""
"        Estimate","3,536"
"    Percent Distribution",""
"        Estimate","3,536"
"    Median income (dollars)",""
"        Estimate","25,988"
