"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Brazoria County, Texas",""
"    Number",""
"        Estimate","127,264"
"    Percent Distribution",""
"        Estimate","127,264"
"    Median income (dollars)",""
"        Estimate","91,972"
"Brazos County, Texas",""
"    Number",""
"        Estimate","86,289"
"    Percent Distribution",""
"        Estimate","86,289"
"    Median income (dollars)",""
"        Estimate","57,562"
"Brewster County, Texas",""
"    Number",""
"        Estimate","4,958"
"    Percent Distribution",""
"        Estimate","4,958"
"    Median income (dollars)",""
"        Estimate","47,747"
"Briscoe County, Texas",""
"    Number",""
"        Estimate","581"
"    Percent Distribution",""
"        Estimate","581"
"    Median income (dollars)",""
"        Estimate","35,446"
"Brooks County, Texas",""
"    Number",""
"        Estimate","2,652"
"    Percent Distribution",""
"        Estimate","2,652"
"    Median income (dollars)",""
"        Estimate","30,566"
"Brown County, Texas",""
"    Number",""
"        Estimate","14,977"
"    Percent Distribution",""
"        Estimate","14,977"
"    Median income (dollars)",""
"        Estimate","53,792"
"Burleson County, Texas",""
"    Number",""
"        Estimate","7,586"
"    Percent Distribution",""
"        Estimate","7,586"
"    Median income (dollars)",""
"        Estimate","71,745"
"Burnet County, Texas",""
"    Number",""
"        Estimate","18,629"
"    Percent Distribution",""
"        Estimate","18,629"
"    Median income (dollars)",""
"        Estimate","71,482"
"Caldwell County, Texas",""
"    Number",""
"        Estimate","15,087"
"    Percent Distribution",""
"        Estimate","15,087"
"    Median income (dollars)",""
"        Estimate","66,779"
"Calhoun County, Texas",""
"    Number",""
"        Estimate","8,045"
"    Percent Distribution",""
"        Estimate","8,045"
"    Median income (dollars)",""
"        Estimate","62,267"
"Callahan County, Texas",""
"    Number",""
"        Estimate","5,270"
"    Percent Distribution",""
"        Estimate","5,270"
"    Median income (dollars)",""
"        Estimate","63,906"
"Cameron County, Texas",""
"    Number",""
"        Estimate","132,538"
"    Percent Distribution",""
"        Estimate","132,538"
"    Median income (dollars)",""
"        Estimate","47,435"
"Camp County, Texas",""
"    Number",""
"        Estimate","4,443"
"    Percent Distribution",""
"        Estimate","4,443"
"    Median income (dollars)",""
"        Estimate","53,968"
"Carson County, Texas",""
"    Number",""
"        Estimate","2,260"
"    Percent Distribution",""
"        Estimate","2,260"
"    Median income (dollars)",""
"        Estimate","83,199"
"Cass County, Texas",""
"    Number",""
"        Estimate","11,530"
"    Percent Distribution",""
"        Estimate","11,530"
"    Median income (dollars)",""
"        Estimate","54,303"
"Castro County, Texas",""
"    Number",""
"        Estimate","2,384"
"    Percent Distribution",""
"        Estimate","2,384"
"    Median income (dollars)",""
"        Estimate","59,886"
"Chambers County, Texas",""
"    Number",""
"        Estimate","15,744"
"    Percent Distribution",""
"        Estimate","15,744"
"    Median income (dollars)",""
"        Estimate","106,103"
"Cherokee County, Texas",""
"    Number",""
"        Estimate","18,069"
"    Percent Distribution",""
"        Estimate","18,069"
"    Median income (dollars)",""
"        Estimate","56,971"
"Childress County, Texas",""
"    Number",""
"        Estimate","1,892"
"    Percent Distribution",""
"        Estimate","1,892"
"    Median income (dollars)",""
"        Estimate","56,063"
"Clay County, Texas",""
"    Number",""
"        Estimate","4,204"
"    Percent Distribution",""
"        Estimate","4,204"
"    Median income (dollars)",""
"        Estimate","75,227"
"Cochran County, Texas",""
"    Number",""
"        Estimate","959"
"    Percent Distribution",""
"        Estimate","959"
"    Median income (dollars)",""
"        Estimate","41,597"
"Coke County, Texas",""
"    Number",""
"        Estimate","1,487"
"    Percent Distribution",""
"        Estimate","1,487"
"    Median income (dollars)",""
"        Estimate","40,230"
"Coleman County, Texas",""
"    Number",""
"        Estimate","3,210"
"    Percent Distribution",""
"        Estimate","3,210"
"    Median income (dollars)",""
"        Estimate","51,034"
"Collin County, Texas",""
"    Number",""
"        Estimate","383,675"
"    Percent Distribution",""
"        Estimate","383,675"
"    Median income (dollars)",""
"        Estimate","113,255"
"Collingsworth County, Texas",""
"    Number",""
"        Estimate","1,018"
"    Percent Distribution",""
"        Estimate","1,018"
"    Median income (dollars)",""
"        Estimate","52,045"
"Colorado County, Texas",""
"    Number",""
"        Estimate","7,376"
"    Percent Distribution",""
"        Estimate","7,376"
"    Median income (dollars)",""
"        Estimate","63,352"
"Comal County, Texas",""
"    Number",""
"        Estimate","63,957"
"    Percent Distribution",""
"        Estimate","63,957"
"    Median income (dollars)",""
"        Estimate","93,744"
"Comanche County, Texas",""
"    Number",""
"        Estimate","5,340"
"    Percent Distribution",""
"        Estimate","5,340"
"    Median income (dollars)",""
"        Estimate","57,383"
"Concho County, Texas",""
"    Number",""
"        Estimate","816"
"    Percent Distribution",""
"        Estimate","816"
"    Median income (dollars)",""
"        Estimate","55,750"
"Cooke County, Texas",""
"    Number",""
"        Estimate","16,196"
"    Percent Distribution",""
"        Estimate","16,196"
"    Median income (dollars)",""
"        Estimate","66,374"
"Coryell County, Texas",""
"    Number",""
"        Estimate","25,156"
"    Percent Distribution",""
"        Estimate","25,156"
"    Median income (dollars)",""
"        Estimate","63,281"
"Cottle County, Texas",""
"    Number",""
"        Estimate","692"
"    Percent Distribution",""
"        Estimate","692"
"    Median income (dollars)",""
"        Estimate","47,625"
"Crane County, Texas",""
"    Number",""
"        Estimate","1,670"
"    Percent Distribution",""
"        Estimate","1,670"
"    Median income (dollars)",""
"        Estimate","71,364"
"Crockett County, Texas",""
"    Number",""
"        Estimate","1,289"
"    Percent Distribution",""
"        Estimate","1,289"
"    Median income (dollars)",""
"        Estimate","64,103"
"Crosby County, Texas",""
"    Number",""
"        Estimate","1,994"
"    Percent Distribution",""
"        Estimate","1,994"
"    Median income (dollars)",""
"        Estimate","50,268"
"Culberson County, Texas",""
"    Number",""
"        Estimate","629"
"    Percent Distribution",""
"        Estimate","629"
"    Median income (dollars)",""
"        Estimate","35,924"
"Dallam County, Texas",""
"    Number",""
"        Estimate","2,333"
"    Percent Distribution",""
"        Estimate","2,333"
"    Median income (dollars)",""
"        Estimate","71,969"
"Dallas County, Texas",""
"    Number",""
"        Estimate","959,184"
"    Percent Distribution",""
"        Estimate","959,184"
"    Median income (dollars)",""
"        Estimate","70,732"
"Dawson County, Texas",""
"    Number",""
"        Estimate","4,133"
"    Percent Distribution",""
"        Estimate","4,133"
"    Median income (dollars)",""
"        Estimate","45,268"
"Deaf Smith County, Texas",""
"    Number",""
"        Estimate","6,022"
"    Percent Distribution",""
"        Estimate","6,022"
"    Median income (dollars)",""
"        Estimate","51,942"
"Delta County, Texas",""
"    Number",""
"        Estimate","2,106"
"    Percent Distribution",""
"        Estimate","2,106"
"    Median income (dollars)",""
"        Estimate","68,491"
"Denton County, Texas",""
"    Number",""
"        Estimate","334,504"
"    Percent Distribution",""
"        Estimate","334,504"
"    Median income (dollars)",""
"        Estimate","104,180"
"DeWitt County, Texas",""
"    Number",""
"        Estimate","6,586"
"    Percent Distribution",""
"        Estimate","6,586"
"    Median income (dollars)",""
"        Estimate","61,100"
"Dickens County, Texas",""
"    Number",""
"        Estimate","638"
"    Percent Distribution",""
"        Estimate","638"
"    Median income (dollars)",""
"        Estimate","46,638"
"Dimmit County, Texas",""
"    Number",""
"        Estimate","2,808"
"    Percent Distribution",""
"        Estimate","2,808"
"    Median income (dollars)",""
"        Estimate","27,374"
"Donley County, Texas",""
"    Number",""
"        Estimate","1,198"
"    Percent Distribution",""
"        Estimate","1,198"
"    Median income (dollars)",""
"        Estimate","51,711"
"Duval County, Texas",""
"    Number",""
"        Estimate","2,892"
"    Percent Distribution",""
"        Estimate","2,892"
"    Median income (dollars)",""
"        Estimate","50,697"
"Eastland County, Texas",""
"    Number",""
"        Estimate","7,083"
"    Percent Distribution",""
"        Estimate","7,083"
"    Median income (dollars)",""
"        Estimate","52,902"
"Ector County, Texas",""
"    Number",""
"        Estimate","60,676"
"    Percent Distribution",""
"        Estimate","60,676"
"    Median income (dollars)",""
"        Estimate","70,566"
"Edwards County, Texas",""
"    Number",""
"        Estimate","526"
"    Percent Distribution",""
"        Estimate","526"
"    Median income (dollars)",""
"        Estimate","40,809"
"Ellis County, Texas",""
"    Number",""
"        Estimate","65,686"
"    Percent Distribution",""
"        Estimate","65,686"
"    Median income (dollars)",""
"        Estimate","93,248"
"El Paso County, Texas",""
"    Number",""
"        Estimate","292,580"
"    Percent Distribution",""
"        Estimate","292,580"
"    Median income (dollars)",""
"        Estimate","55,417"
"Erath County, Texas",""
"    Number",""
"        Estimate","16,007"
"    Percent Distribution",""
"        Estimate","16,007"
"    Median income (dollars)",""
"        Estimate","59,654"
"Falls County, Texas",""
"    Number",""
"        Estimate","5,499"
"    Percent Distribution",""
"        Estimate","5,499"
"    Median income (dollars)",""
"        Estimate","45,172"
"Fannin County, Texas",""
"    Number",""
"        Estimate","12,699"
"    Percent Distribution",""
"        Estimate","12,699"
"    Median income (dollars)",""
"        Estimate","65,835"
"Fayette County, Texas",""
"    Number",""
"        Estimate","9,310"
"    Percent Distribution",""
"        Estimate","9,310"
"    Median income (dollars)",""
"        Estimate","72,881"
"Fisher County, Texas",""
"    Number",""
"        Estimate","1,514"
"    Percent Distribution",""
"        Estimate","1,514"
"    Median income (dollars)",""
"        Estimate","60,461"
"Floyd County, Texas",""
"    Number",""
"        Estimate","1,938"
"    Percent Distribution",""
"        Estimate","1,938"
"    Median income (dollars)",""
"        Estimate","49,321"
"Foard County, Texas",""
"    Number",""
"        Estimate","462"
"    Percent Distribution",""
"        Estimate","462"
"    Median income (dollars)",""
"        Estimate","41,944"
"Fort Bend County, Texas",""
"    Number",""
"        Estimate","270,136"
"    Percent Distribution",""
"        Estimate","270,136"
"    Median income (dollars)",""
"        Estimate","109,987"
"Franklin County, Texas",""
"    Number",""
"        Estimate","3,782"
"    Percent Distribution",""
"        Estimate","3,782"
"    Median income (dollars)",""
"        Estimate","67,915"
"Freestone County, Texas",""
"    Number",""
"        Estimate","6,701"
"    Percent Distribution",""
"        Estimate","6,701"
"    Median income (dollars)",""
"        Estimate","55,902"
"Frio County, Texas",""
"    Number",""
"        Estimate","4,709"
"    Percent Distribution",""
"        Estimate","4,709"
"    Median income (dollars)",""
"        Estimate","56,042"
"Gaines County, Texas",""
"    Number",""
"        Estimate","6,909"
"    Percent Distribution",""
"        Estimate","6,909"
"    Median income (dollars)",""
"        Estimate","73,299"
"Galveston County, Texas",""
"    Number",""
"        Estimate","135,275"
"    Percent Distribution",""
"        Estimate","135,275"
"    Median income (dollars)",""
"        Estimate","83,913"
"Garza County, Texas",""
"    Number",""
"        Estimate","1,677"
"    Percent Distribution",""
"        Estimate","1,677"
"    Median income (dollars)",""
"        Estimate","56,215"
"Gillespie County, Texas",""
"    Number",""
"        Estimate","11,035"
"    Percent Distribution",""
"        Estimate","11,035"
"    Median income (dollars)",""
"        Estimate","70,162"
"Glasscock County, Texas",""
"    Number",""
"        Estimate","415"
"    Percent Distribution",""
"        Estimate","415"
"    Median income (dollars)",""
"        Estimate","112,188"
"Goliad County, Texas",""
"    Number",""
"        Estimate","2,720"
"    Percent Distribution",""
"        Estimate","2,720"
"    Median income (dollars)",""
"        Estimate","58,125"
"Gonzales County, Texas",""
"    Number",""
"        Estimate","7,412"
"    Percent Distribution",""
"        Estimate","7,412"
"    Median income (dollars)",""
"        Estimate","64,255"
"Gray County, Texas",""
"    Number",""
"        Estimate","8,021"
"    Percent Distribution",""
"        Estimate","8,021"
"    Median income (dollars)",""
"        Estimate","54,563"
"Grayson County, Texas",""
"    Number",""
"        Estimate","52,084"
"    Percent Distribution",""
"        Estimate","52,084"
"    Median income (dollars)",""
"        Estimate","66,608"
"Gregg County, Texas",""
"    Number",""
"        Estimate","47,008"
"    Percent Distribution",""
"        Estimate","47,008"
"    Median income (dollars)",""
"        Estimate","63,811"
"Grimes County, Texas",""
"    Number",""
"        Estimate","9,769"
"    Percent Distribution",""
"        Estimate","9,769"
"    Median income (dollars)",""
"        Estimate","63,484"
"Guadalupe County, Texas",""
"    Number",""
"        Estimate","60,463"
"    Percent Distribution",""
"        Estimate","60,463"
"    Median income (dollars)",""
"        Estimate","88,111"
"Hale County, Texas",""
"    Number",""
"        Estimate","10,997"
"    Percent Distribution",""
"        Estimate","10,997"
"    Median income (dollars)",""
"        Estimate","50,721"
"Hall County, Texas",""
"    Number",""
"        Estimate","1,145"
"    Percent Distribution",""
"        Estimate","1,145"
"    Median income (dollars)",""
"        Estimate","43,873"
"Hamilton County, Texas",""
"    Number",""
"        Estimate","3,131"
"    Percent Distribution",""
"        Estimate","3,131"
"    Median income (dollars)",""
"        Estimate","54,890"
"Hansford County, Texas",""
"    Number",""
"        Estimate","1,763"
"    Percent Distribution",""
"        Estimate","1,763"
"    Median income (dollars)",""
"        Estimate","62,350"
"Hardeman County, Texas",""
"    Number",""
"        Estimate","1,304"
"    Percent Distribution",""
"        Estimate","1,304"
"    Median income (dollars)",""
"        Estimate","60,455"
"Hardin County, Texas",""
"    Number",""
"        Estimate","20,845"
"    Percent Distribution",""
"        Estimate","20,845"
"    Median income (dollars)",""
"        Estimate","70,164"
"Harris County, Texas",""
"    Number",""
"        Estimate","1,692,896"
"    Percent Distribution",""
"        Estimate","1,692,896"
"    Median income (dollars)",""
"        Estimate","70,789"
"Harrison County, Texas",""
"    Number",""
"        Estimate","24,993"
"    Percent Distribution",""
"        Estimate","24,993"
"    Median income (dollars)",""
"        Estimate","63,427"
"Hartley County, Texas",""
"    Number",""
"        Estimate","1,626"
"    Percent Distribution",""
"        Estimate","1,626"
"    Median income (dollars)",""
"        Estimate","78,065"
"Haskell County, Texas",""
"    Number",""
"        Estimate","2,090"
"    Percent Distribution",""
"        Estimate","2,090"
"    Median income (dollars)",""
"        Estimate","52,786"
"Hays County, Texas",""
"    Number",""
"        Estimate","89,328"
"    Percent Distribution",""
"        Estimate","89,328"
"    Median income (dollars)",""
"        Estimate","79,990"
"Hemphill County, Texas",""
"    Number",""
"        Estimate","1,345"
"    Percent Distribution",""
"        Estimate","1,345"
"    Median income (dollars)",""
"        Estimate","67,798"
"Henderson County, Texas",""
"    Number",""
"        Estimate","31,973"
"    Percent Distribution",""
"        Estimate","31,973"
"    Median income (dollars)",""
"        Estimate","59,778"
"Hidalgo County, Texas",""
"    Number",""
"        Estimate","257,499"
"    Percent Distribution",""
"        Estimate","257,499"
"    Median income (dollars)",""
"        Estimate","49,371"
"Hill County, Texas",""
"    Number",""
"        Estimate","13,390"
"    Percent Distribution",""
"        Estimate","13,390"
"    Median income (dollars)",""
"        Estimate","60,669"
"Hockley County, Texas",""
"    Number",""
"        Estimate","7,922"
"    Percent Distribution",""
"        Estimate","7,922"
"    Median income (dollars)",""
"        Estimate","53,283"
"Hood County, Texas",""
"    Number",""
"        Estimate","24,734"
"    Percent Distribution",""
"        Estimate","24,734"
"    Median income (dollars)",""
"        Estimate","80,013"
"Hopkins County, Texas",""
"    Number",""
"        Estimate","13,781"
"    Percent Distribution",""
"        Estimate","13,781"
"    Median income (dollars)",""
"        Estimate","63,766"
"Houston County, Texas",""
"    Number",""
"        Estimate","7,464"
"    Percent Distribution",""
"        Estimate","7,464"
"    Median income (dollars)",""
"        Estimate","51,043"
"Howard County, Texas",""
"    Number",""
"        Estimate","12,010"
"    Percent Distribution",""
"        Estimate","12,010"
"    Median income (dollars)",""
"        Estimate","67,243"
"Hudspeth County, Texas",""
"    Number",""
"        Estimate","890"
"    Percent Distribution",""
"        Estimate","890"
"    Median income (dollars)",""
"        Estimate","35,163"
"Hunt County, Texas",""
"    Number",""
"        Estimate","36,560"
"    Percent Distribution",""
"        Estimate","36,560"
"    Median income (dollars)",""
"        Estimate","66,885"
"Hutchinson County, Texas",""
"    Number",""
"        Estimate","6,711"
"    Percent Distribution",""
"        Estimate","6,711"
"    Median income (dollars)",""
"        Estimate","62,211"
"Irion County, Texas",""
"    Number",""
"        Estimate","647"
"    Percent Distribution",""
"        Estimate","647"
"    Median income (dollars)",""
"        Estimate","54,708"
"Jack County, Texas",""
"    Number",""
"        Estimate","2,997"
"    Percent Distribution",""
"        Estimate","2,997"
"    Median income (dollars)",""
"        Estimate","58,861"
"Jackson County, Texas",""
"    Number",""
"        Estimate","5,235"
"    Percent Distribution",""
"        Estimate","5,235"
"    Median income (dollars)",""
"        Estimate","67,176"
"Jasper County, Texas",""
"    Number",""
"        Estimate","13,142"
"    Percent Distribution",""
"        Estimate","13,142"
"    Median income (dollars)",""
"        Estimate","48,818"
"Jeff Davis County, Texas",""
"    Number",""
"        Estimate","1,095"
"    Percent Distribution",""
"        Estimate","1,095"
"    Median income (dollars)",""
"        Estimate","38,125"
"Jefferson County, Texas",""
"    Number",""
"        Estimate","93,193"
"    Percent Distribution",""
"        Estimate","93,193"
"    Median income (dollars)",""
"        Estimate","57,294"
"Jim Hogg County, Texas",""
"    Number",""
"        Estimate","1,342"
"    Percent Distribution",""
"        Estimate","1,342"
"    Median income (dollars)",""
"        Estimate","42,292"
"Jim Wells County, Texas",""
"    Number",""
"        Estimate","12,914"
"    Percent Distribution",""
"        Estimate","12,914"
"    Median income (dollars)",""
"        Estimate","46,626"
"Johnson County, Texas",""
"    Number",""
"        Estimate","62,297"
"    Percent Distribution",""
"        Estimate","62,297"
"    Median income (dollars)",""
"        Estimate","77,058"
"Jones County, Texas",""
"    Number",""
"        Estimate","5,917"
"    Percent Distribution",""
"        Estimate","5,917"
"    Median income (dollars)",""
"        Estimate","59,361"
"Karnes County, Texas",""
"    Number",""
"        Estimate","4,359"
"    Percent Distribution",""
"        Estimate","4,359"
"    Median income (dollars)",""
"        Estimate","57,798"
"Kaufman County, Texas",""
"    Number",""
"        Estimate","47,899"
"    Percent Distribution",""
"        Estimate","47,899"
"    Median income (dollars)",""
"        Estimate","84,075"
"Kendall County, Texas",""
"    Number",""
"        Estimate","16,763"
"    Percent Distribution",""
"        Estimate","16,763"
"    Median income (dollars)",""
"        Estimate","104,196"
"Kenedy County, Texas",""
"    Number",""
"        Estimate","38"
"    Percent Distribution",""
"        Estimate","38"
"    Median income (dollars)",""
"        Estimate","45,455"
"Kent County, Texas",""
"    Number",""
"        Estimate","246"
"    Percent Distribution",""
"        Estimate","246"
"    Median income (dollars)",""
"        Estimate","68,553"
"Kerr County, Texas",""
"    Number",""
"        Estimate","22,024"
"    Percent Distribution",""
"        Estimate","22,024"
"    Median income (dollars)",""
"        Estimate","66,713"
"Kimble County, Texas",""
"    Number",""
"        Estimate","1,715"
"    Percent Distribution",""
"        Estimate","1,715"
"    Median income (dollars)",""
"        Estimate","62,386"
"King County, Texas",""
"    Number",""
"        Estimate","80"
"    Percent Distribution",""
"        Estimate","80"
"    Median income (dollars)",""
"        Estimate","59,375"
"Kinney County, Texas",""
"    Number",""
"        Estimate","1,105"
"    Percent Distribution",""
"        Estimate","1,105"
"    Median income (dollars)",""
"        Estimate","52,386"
"Kleberg County, Texas",""
"    Number",""
"        Estimate","11,915"
"    Percent Distribution",""
"        Estimate","11,915"
"    Median income (dollars)",""
"        Estimate","52,487"
"Knox County, Texas",""
"    Number",""
"        Estimate","1,248"
"    Percent Distribution",""
"        Estimate","1,248"
"    Median income (dollars)",""
"        Estimate","48,750"
"Lamar County, Texas",""
"    Number",""
"        Estimate","20,122"
"    Percent Distribution",""
"        Estimate","20,122"
"    Median income (dollars)",""
"        Estimate","58,246"
"Lamb County, Texas",""
"    Number",""
"        Estimate","4,632"
"    Percent Distribution",""
"        Estimate","4,632"
"    Median income (dollars)",""
"        Estimate","54,519"
"Lampasas County, Texas",""
"    Number",""
"        Estimate","7,934"
"    Percent Distribution",""
"        Estimate","7,934"
"    Median income (dollars)",""
"        Estimate","73,269"
"La Salle County, Texas",""
"    Number",""
"        Estimate","1,688"
"    Percent Distribution",""
"        Estimate","1,688"
"    Median income (dollars)",""
"        Estimate","62,798"
"Lavaca County, Texas",""
"    Number",""
"        Estimate","8,206"
"    Percent Distribution",""
"        Estimate","8,206"
"    Median income (dollars)",""
"        Estimate","58,530"
"Lee County, Texas",""
"    Number",""
"        Estimate","6,313"
"    Percent Distribution",""
"        Estimate","6,313"
"    Median income (dollars)",""
"        Estimate","66,448"
"Leon County, Texas",""
"    Number",""
"        Estimate","6,397"
"    Percent Distribution",""
"        Estimate","6,397"
"    Median income (dollars)",""
"        Estimate","57,363"
"Liberty County, Texas",""
"    Number",""
"        Estimate","28,921"
"    Percent Distribution",""
"        Estimate","28,921"
"    Median income (dollars)",""
"        Estimate","59,605"
"Limestone County, Texas",""
"    Number",""
"        Estimate","8,195"
"    Percent Distribution",""
"        Estimate","8,195"
"    Median income (dollars)",""
"        Estimate","53,102"
"Lipscomb County, Texas",""
"    Number",""
"        Estimate","1,135"
"    Percent Distribution",""
"        Estimate","1,135"
"    Median income (dollars)",""
"        Estimate","71,625"
"Live Oak County, Texas",""
"    Number",""
"        Estimate","4,153"
"    Percent Distribution",""
"        Estimate","4,153"
"    Median income (dollars)",""
"        Estimate","55,949"
"Llano County, Texas",""
"    Number",""
"        Estimate","9,612"
"    Percent Distribution",""
"        Estimate","9,612"
"    Median income (dollars)",""
"        Estimate","64,241"
"Loving County, Texas",""
"    Number",""
"        Estimate","40"
"    Percent Distribution",""
"        Estimate","40"
"    Median income (dollars)",""
"        Estimate","-"
"Lubbock County, Texas",""
"    Number",""
"        Estimate","121,685"
"    Percent Distribution",""
"        Estimate","121,685"
"    Median income (dollars)",""
"        Estimate","61,911"
"Lynn County, Texas",""
"    Number",""
"        Estimate","2,053"
"    Percent Distribution",""
"        Estimate","2,053"
"    Median income (dollars)",""
"        Estimate","52,996"
"McCulloch County, Texas",""
"    Number",""
"        Estimate","3,186"
"    Percent Distribution",""
"        Estimate","3,186"
"    Median income (dollars)",""
"        Estimate","53,214"
"McLennan County, Texas",""
"    Number",""
"        Estimate","94,985"
"    Percent Distribution",""
"        Estimate","94,985"
"    Median income (dollars)",""
"        Estimate","59,781"
"McMullen County, Texas",""
"    Number",""
"        Estimate","202"
"    Percent Distribution",""
"        Estimate","202"
"    Median income (dollars)",""
"        Estimate","60,313"
"Madison County, Texas",""
"    Number",""
"        Estimate","4,081"
"    Percent Distribution",""
"        Estimate","4,081"
"    Median income (dollars)",""
"        Estimate","65,768"
"Marion County, Texas",""
"    Number",""
"        Estimate","4,014"
"    Percent Distribution",""
"        Estimate","4,014"
"    Median income (dollars)",""
"        Estimate","48,040"
"Martin County, Texas",""
"    Number",""
"        Estimate","1,912"
"    Percent Distribution",""
"        Estimate","1,912"
"    Median income (dollars)",""
"        Estimate","70,217"
"Mason County, Texas",""
"    Number",""
"        Estimate","1,519"
"    Percent Distribution",""
"        Estimate","1,519"
"    Median income (dollars)",""
"        Estimate","77,583"
"Matagorda County, Texas",""
"    Number",""
"        Estimate","14,073"
"    Percent Distribution",""
"        Estimate","14,073"
"    Median income (dollars)",""
"        Estimate","56,412"
"Maverick County, Texas",""
"    Number",""
"        Estimate","17,901"
"    Percent Distribution",""
"        Estimate","17,901"
"    Median income (dollars)",""
"        Estimate","48,497"
"Medina County, Texas",""
"    Number",""
"        Estimate","17,296"
"    Percent Distribution",""
"        Estimate","17,296"
"    Median income (dollars)",""
"        Estimate","73,060"
"Menard County, Texas",""
"    Number",""
"        Estimate","905"
"    Percent Distribution",""
"        Estimate","905"
"    Median income (dollars)",""
"        Estimate","40,945"
"Midland County, Texas",""
"    Number",""
"        Estimate","65,265"
"    Percent Distribution",""
"        Estimate","65,265"
"    Median income (dollars)",""
"        Estimate","90,123"
"Milam County, Texas",""
"    Number",""
"        Estimate","9,767"
"    Percent Distribution",""
"        Estimate","9,767"
"    Median income (dollars)",""
"        Estimate","56,985"
"Mills County, Texas",""
"    Number",""
"        Estimate","1,833"
"    Percent Distribution",""
"        Estimate","1,833"
"    Median income (dollars)",""
"        Estimate","59,315"
"Mitchell County, Texas",""
"    Number",""
"        Estimate","2,411"
"    Percent Distribution",""
"        Estimate","2,411"
"    Median income (dollars)",""
"        Estimate","49,869"
"Montague County, Texas",""
"    Number",""
"        Estimate","7,907"
"    Percent Distribution",""
"        Estimate","7,907"
"    Median income (dollars)",""
"        Estimate","63,336"
"Montgomery County, Texas",""
"    Number",""
"        Estimate","224,474"
"    Percent Distribution",""
"        Estimate","224,474"
"    Median income (dollars)",""
"        Estimate","95,946"
"Moore County, Texas",""
"    Number",""
"        Estimate","6,989"
"    Percent Distribution",""
"        Estimate","6,989"
"    Median income (dollars)",""
"        Estimate","59,041"
"Morris County, Texas",""
"    Number",""
"        Estimate","4,879"
"    Percent Distribution",""
"        Estimate","4,879"
"    Median income (dollars)",""
"        Estimate","51,532"
"Motley County, Texas",""
