year,state,population,electric,phev,hev,biodiesel,ethanol,cng,propane,hydrogen,methanol,gasoline,diesel,unknown,total_vehicles,ev_adoption_rate,gas_adoption_rate,ev_growth_rate,gas_growth_rate
2018,Arizona,7158024.0,12600,7700,102000,0,533600,15500,0,0,0,5061900,196300,103700,6033300,0.0020884093282283,0.8389935855999204,0.6957593688363402,-0.0071235578533632715
2018,Arkansas,3009733.0,600,800,20300,0,370600,9200,0,0,0,2070200,101700,18100,2591500,0.0002315261431603,0.7988423692841984,1.007871888867712,-0.009083535726757463
2018,California,39461588.0,273500,215000,1085300,0,1615200,77700,0,9400,300,28646700,761600,129800,32814500,0.0083347300735955,0.872989074951622,0.40594638093321134,-0.008384317383812623
2018,Colorado,5691287.0,12500,7400,84700,0,420500,13500,0,0,0,4278900,236200,78200,5131900,0.0024357450456945,0.8337847580818021,0.5453279974278402,-0.005832090670193746
2018,Connecticut,3571520.0,5000,5200,45100,0,188100,2500,0,0,0,2643300,54000,28200,2971400,0.0016827084875816,0.8895806690448946,0.7036301631106692,-0.005072958688346119
2018,Delaware,965479.0,800,1200,12300,0,80700,1200,0,0,0,758500,17000,6900,878600,0.0009105394946505,0.8633052583655816,0.9747325290235003,-0.007004360074062577
2018,District of Columbia,,1100,1000,13900,0,23500,200,0,0,0,291000,2600,1100,334400,0.0032894736842105,0.8702153110047847,0.3569078947368449,-0.0007966157565102439
2018,Florida,21244317.0,27400,17400,226900,0,1423900,15500,0,0,0,14541500,386500,135600,16774700,0.0016334122219771,0.8668709425503884,0.6800106989513299,-0.006401782608949302
2018,Georgia,10511131.0,15900,7000,97100,0,852500,23400,0,0,0,7500000,230100,104100,8830100,0.0018006591091833,0.8493675043317743,0.08688534104937373,-0.007085469194067606
2018,Hawaii,1420593.0,6600,2400,24800,0,52100,1100,0,0,0,969000,17800,6900,1080700,0.0061071527713519,0.8966410659757564,0.20650195860709353,-0.004851550995696119
2018,Idaho,1750536.0,1100,1100,19600,0,136900,11200,0,0,0,1426000,138400,26300,1760600,0.0006247870044303,0.8099511530160173,0.5238555038055033,-0.0032942168486043144
2018,Illinois,12723071.0,13600,9900,163800,0,1110700,14800,0,0,0,8631200,200800,89600,10234400,0.001328851715782,0.8433518330336903,0.636921170180665,-0.007722037434772622
2018,Indiana,6695497.0,3400,4100,64000,0,698200,16100,0,0,0,4881200,168300,73400,5908700,0.0005754226818081,0.8261038807182629,0.7707573043496736,-0.010357780611057632
2018,Iowa,3148618.0,1100,2000,30700,0,430600,11200,0,0,0,2397500,115300,72800,3061200,0.0003593362080229,0.7831895988501242,0.8268053922210825,-0.010289488204269781
2018,Kansas,2911359.0,1700,1800,29600,0,295700,12100,0,0,0,2087000,94500,32400,2554800,0.0006654141224361,0.8168936903084391,0.6968060122124793,-0.008010424169474839
2018,Kentucky,4461153.0,1200,1500,35800,0,414300,13200,0,0,0,3308700,123600,41100,3939400,0.000304614915977,0.8398994770777276,0.7041899056420731,-0.0092131055690714
2018,Louisiana,4659690.0,900,900,19000,0,539200,9500,0,0,0,3034700,158400,32200,3794800,0.0002371666490987,0.7996995889111416,0.49719352798530503,-0.008535847298376198
2018,Maine,1339057.0,800,1800,19600,0,132700,1400,0,0,0,1006500,31100,11700,1205600,0.0006635700066357,0.8348540145985401,0.5921698739217445,-0.011474179516513527
2018,Maryland,6035802.0,8400,8400,95300,0,389100,4900,0,0,0,4075000,104600,40700,4726400,0.0017772511848341,0.8621784021665538,0.8905913399396788,-0.005051225547146876
2018,Massachusetts,6882635.0,10300,11600,107000,0,387200,2600,0,0,0,4667700,74200,37500,5298100,0.0019440931654744,0.881013948396595,0.8254340504817443,-0.007403410370685148
2018,Michigan,9984072.0,4200,12300,79000,0,1351800,15300,0,0,0,6879900,285300,70300,8698100,0.0004828640737632,0.790965843115163,0.6805601223257551,0.0003915692921045988
2018,Minnesota,5606249.0,4900,4800,71000,0,660700,10700,0,0,0,4078700,138800,42600,5012200,0.0009776146203264,0.813754439168429,1.0488677192870153,-0.009484476875942893
2018,Mississippi,2981020.0,300,500,13600,0,342300,6300,0,0,0,2125900,89700,15000,2593600,0.0001156693399136,0.8196714990746453,0.48958975940734084,-0.011959604522555178
2018,Missouri,6121623.0,3500,4200,98600,0,744500,17800,0,0,0,4638300,212900,60600,5780400,0.0006054944294512,0.8024185177496367,0.6552199386431539,-0.008492652694776281
2018,Montana,1060665.0,500,400,10000,0,123700,4400,0,0,0,729000,89600,18400,976000,0.0005122950819672,0.7469262295081968,0.6738387978141676,-0.0078098791652874144
2018,Nebraska,1925614.0,900,1000,16800,0,246300,8400,0,0,0,1474400,84200,34000,1866000,0.0004823151125401,0.790139335476956,0.7847588424439063,-0.00893783574031315
2018,Nevada,3027341.0,5100,2900,37300,0,171800,6200,0,0,0,2005700,90600,32800,2352400,0.0021679986396871,0.852618602278524,0.6011718985689192,-0.006933769183150695
2018,New Hampshire,1353465.0,1200,2000,20700,0,124700,1400,0,0,0,1145600,33600,15800,1345000,0.0008921933085501,0.8517472118959107,0.9702602230483344,-0.008465071374027633
2018,New Jersey,8886025.0,13400,10800,89200,0,540100,3800,0,0,0,6333400,109700,50700,7151100,0.0018738375914195,0.8856539553355428,0.8769063399389332,-0.0027338490158466122
2018,New Mexico,2092741.0,1300,1300,25000,0,183700,6900,0,0,0,1478700,100000,33500,1830400,0.0007102272727272,0.8078562062937062,0.8406047077922403,-0.006351655137695755
2018,New York,19530351.0,15500,24300,173200,0,1003900,7800,0,0,0,9967300,184600,107000,11483600,0.0013497509491796,0.8679595248876659,0.6452315346288602,-0.005081520628080205
2018,North Carolina,10381615.0,7300,6500,119400,0,791100,22300,0,0,0,7205800,229300,99200,8480900,0.0008607577026023,0.8496503908783266,0.6366720834731923,-0.007438168981478754
2018,North Dakota,758080.0,100,200,3700,0,133300,4300,0,0,0,560300,54700,15900,772500,0.0001294498381877,0.7253074433656957,0.0033656957929992792,-0.008140791544194115
2018,Ohio,11676341.0,6400,7200,104900,0,1075400,17600,0,0,0,8725900,220800,96000,10254200,0.0006241345009849,0.8509586315851065,0.7165385627088241,-0.0071824082767663056
2018,Oklahoma,3940235.0,3700,1300,27800,0,629100,17100,0,0,0,3204200,178300,64500,4126000,0.0008967523024721,0.7765874939408628,2.1026135078368218,-0.004343032657976642
2018,Oregon,4181886.0,13800,8400,96300,0,210600,13500,0,0,0,3177400,238000,85700,3843700,0.0035902906054062,0.8266514035954939,0.351923927465734,-0.005763427801573906
2018,Pennsylvania,12800922.0,8000,9500,114800,0,893300,11900,0,0,0,8661000,227000,77500,10003000,0.0007997600719784,0.8658402479256223,0.8207265093201181,-0.006333146570853931
2018,Rhode Island,1058287.0,700,1200,12400,0,55500,600,0,0,0,792000,13200,7800,883400,0.0007923930269413,0.8965361104822278,0.7060221870046219,-0.006054456298539401
2018,South Carolina,5084156.0,2000,2200,43800,0,462200,14100,0,0,0,3906000,112500,61700,4604500,0.0004343576935606,0.848300575523944,0.6389401672279937,-0.007385730846892202
2018,South Dakota,878698.0,200,300,6300,0,135300,5000,0,0,0,689100,62000,21600,919800,0.0002174385736029,0.7491846053489889,0.9599913024567692,-0.009656836395983914
2018,Tennessee,6771631.0,3900,2900,59200,0,567600,19100,0,0,0,5059400,164100,55600,5931800,0.0006574732796115,0.8529282848376547,0.27246018246472037,-0.009856603896785554
2018,Texas,28628666.0,24500,14700,227700,0,3005900,51300,0,0,0,18453800,1019300,175300,22972500,0.0010664925454347,0.8032995973446512,0.4933810274099937,-0.007828528095593312
2018,Utah,3153550.0,5600,3400,40900,0,214100,9700,0,0,0,2221100,173700,36600,2705100,0.0020701637647406,0.8210787031902702,0.4828698055935283,-0.008747353971559124
2018,Vermont,624358.0,1100,2000,12600,0,57500,600,0,0,0,513600,19100,7700,614200,0.0017909475740801,0.8362097036795832,0.5762897148440125,-0.006769233782550121
2018,Virginia,8501286.0,9900,8100,141300,0,569100,15100,0,0,0,6721800,173400,55800,7694500,0.0012866333095067,0.873585028266944,0.927275785224625,-0.0050294503171882665
2018,Washington,7523869.0,30200,13700,177800,0,387400,21400,0,0,0,5608000,295400,110600,6644500,0.0045451124990593,0.8440063210173828,0.41666827917110627,-0.005912336166973287
2018,West Virginia,1804291.0,200,500,10100,0,172900,3500,0,0,0,1256800,54700,16500,1515200,0.0001319957761351,0.8294614572333685,1.0184794086579494,-0.007579641341626586
2018,Wisconsin,5807406.0,3700,4500,70900,0,696300,11400,0,0,0,4515800,162500,47100,5512200,0.0006712383440368,0.8192373281085592,0.3123908265821356,-0.010083707956935584
2018,Wyoming,577601.0,200,200,4100,0,71500,4200,0,0,0,450100,72900,20400,623600,0.0003207184092366,0.7217767799871713,0.9849262347655565,-0.004218347895541097
2019,Alabama,4903185.0,2000,1800,33700,0,543900,15900,0,0,0,3806700,144900,44300,4593200,0.0004354262823304,0.8287686144735696,0.49944064469919724,-0.006307829655883168
2019,Alaska,731545.0,700,400,5800,0,64000,3200,0,0,0,473700,40100,14600,602500,0.001161825726141,0.7862240663900415,0.42648962655602163,-0.0046134164635048824
2019,Arizona,7278717.0,19500,9600,108100,0,571500,14300,0,0,0,5186900,208800,99000,6217700,0.0031362079225437,0.8342152242790742,0.501720893578032,-0.005695349050171106
2019,Arkansas,3017804.0,900,1000,21100,0,383000,8000,0,0,0,2059000,105200,16700,2594900,0.0003468341747273,0.7934795175151258,0.4980346063432024,-0.006713279083929824
2019,California,39512223.0,349700,247300,1154200,0,1698700,76200,0,12700,300,29210100,785800,136900,33671900,0.0103855143309406,0.8674918849248187,0.24605287024735256,-0.006296974595138005
2019,Colorado,5758736.0,19200,9300,92400,0,447700,12600,0,0,0,4347900,246700,73600,5249400,0.0036575608640987,0.8282660875528632,0.501618927877497,-0.006618819156199329
2019,Connecticut,3565287.0,6900,5700,47400,0,196800,2300,0,0,0,2632800,53100,27700,2972700,0.0023211222121303,0.8856595014633162,0.37939650822480386,-0.004407883082473529
2019,Delaware,973764.0,1300,1300,13200,0,85500,1000,0,0,0,768600,17200,6800,894900,0.0014526762766789,0.8588669125041904,0.5954017208627431,-0.005141108337268663
2019,District of Columbia,,1800,1300,13700,0,22500,200,0,0,0,286300,2400,1100,329300,0.0054661402976009,0.8694199817795324,0.6617066504706868,-0.0009139453365097916
2019,Florida,21477737.0,40300,20400,235300,0,1486600,14200,0,0,0,14726700,408500,139200,17071200,0.0023607010637799,0.8626634331505694,0.44525737717480873,-0.004853674512886874
2019,Georgia,10617423.0,19000,8400,101800,0,890400,22000,0,0,0,7552700,237500,101800,8933600,0.0021268021850094,0.8454262559326587,0.18112427508504036,-0.004640215665204117
2019,Hawaii,1415872.0,8800,2900,25800,0,55600,1000,0,0,0,970900,17900,6800,1089700,0.0080756171423327,0.8909791685785079,0.32232112813923486,-0.006314564001245082
2019,Idaho,1787065.0,1600,1500,21900,0,148600,10500,0,0,0,1453500,147200,25500,1810300,0.0008838314091587,0.8029055957576092,0.41461234451347884,-0.008698743414553456
2019,Illinois,12671821.0,19300,11600,177300,0,1153600,13400,0,0,0,8665900,209000,98000,10348100,0.0018650766807433,0.8374387568732424,0.40352505745589795,-0.0070113989545471656
2019,Indiana,6732219.0,5100,4700,68900,0,745100,14500,0,0,0,4887900,175900,70700,5972800,0.0008538708813286,0.818359898205197,0.4839020225020618,-0.009374102572103804
2019,Iowa,3155070.0,1600,2400,33100,0,448900,10200,0,0,0,2397900,120300,71000,3085400,0.0005185713359694,0.7771763790756466,0.44313688515450744,-0.007677859592755243
2019,Kansas,2913314.0,2300,2100,31700,0,313500,11300,0,0,0,2094100,98800,29500,2583300,0.0008903340688266,0.8106298145782527,0.33801498766972626,-0.007667920323660815
2019,Kentucky,4467673.0,1900,1800,38000,0,442000,12000,0,0,0,3309900,129100,38900,3973600,0.0004781558284678,0.8329726192872962,0.5697058922219791,-0.008247246223479165
2019,Louisiana,4648794.0,1400,1000,19800,0,554400,8500,0,0,0,3030400,162300,30800,3808600,0.0003675891403665,0.7956729506905424,0.549919188736874,-0.005035188558845882
2019,Maine,1344212.0,1300,2200,20600,0,141300,1300,0,0,0,1002000,32500,11200,1212400,0.0010722533817222,0.8264599142197294,0.6158858462553558,-0.010054572694181974
2019,Maryland,6045680.0,13200,10000,100700,0,400600,4400,0,0,0,4068900,107000,39400,4744200,0.0027823447578095,0.8576577715947894,0.5655326503941658,-0.005243265848929424
2019,Massachusetts,6892503.0,14100,12900,112400,0,400100,2300,0,0,0,4613000,72600,36800,5264200,0.0026784696630067,0.8762964932943277,0.37774758461902036,-0.005354574817859392
2019,Michigan,9986857.0,6600,12400,86500,0,1353800,13100,0,0,0,6786400,224900,67800,8551500,0.0007717944220312,0.793591767526165,0.5983678719690659,0.0033198960914164743
2019,Minnesota,5639632.0,7700,5800,77400,0,704600,10100,0,0,0,4174400,155100,43800,5178900,0.0014868022166869,0.8060398926412945,0.5208469531587974,-0.009480189791674754
2019,Mississippi,2976149.0,500,600,14400,0,366500,5600,0,0,0,2166800,95100,14800,2664300,0.0001876665540667,0.8132717787035995,0.6224399154251146,-0.007807664873392239
2019,Missouri,6137428.0,4900,5000,86200,0,764500,15900,0,0,0,4591200,219600,55900,5743200,0.0008531828945535,0.7994149603008776,0.40906811533641463,-0.0037431307756736754
2019,Montana,1068778.0,700,500,10500,0,129000,3900,0,0,0,717800,90900,16800,970100,0.0007215750953509,0.7399237192042057,0.4085145861249928,-0.009375102958429693
2019,Nebraska,1934408.0,1300,1100,18200,0,256900,7700,0,0,0,1476500,87000,32400,1881100,0.0006910850034554,0.7849130827707193,0.43284957383113865,-0.006614343156428282
2019,Nevada,3080156.0,7900,3600,40100,0,181300,5700,0,0,0,2037600,95500,32000,2403700,0.0032865998252693,0.8476931397428964,0.5159602801889414,-0.005776864969242901
2019,New Hampshire,1359711.0,1900,2200,21900,0,133100,1300,0,0,0,1156800,35000,15700,1367900,0.0013889904232765,0.8456758534980627,0.5568267660892272,-0.007128122420657745
2019,New Jersey,8882190.0,20200,11700,99900,0,561100,3300,0,0,0,6384100,110900,51400,7242600,0.0027890536547648,0.8814652196724932,0.4884180291484017,-0.004729539836428098
2019,New Mexico,2096829.0,1900,1600,26800,0,194100,6400,0,0,0,1490400,104300,31600,1857100,0.0010231005330892,0.8025415971137796,0.4405255505897412,-0.006578657363182305
2019,New York,19453561.0,23000,28000,182800,0,1027800,7000,0,0,0,9935300,186100,107200,11497200,0.0020004870751139,0.8641495320599798,0.48211570166320517,-0.004389597346926122
2019,North Carolina,10488084.0,11600,8100,126600,0,846400,20600,0,0,0,7311100,242600,96300,8663300,0.0013389816813454,0.8439162905590248,0.5555848960715675,-0.006748776180017013
2019,North Dakota,762062.0,200,200,4000,0,135800,4000,0,0,0,563900,56700,14000,778800,0.0002568053415511,0.7240626605033385,0.983821263482282,-0.0017162141016794363
2019,Ohio,11689100.0,10200,8600,114500,0,1127400,15800,0,0,0,8735800,231500,92200,10336000,0.0009868421052631,0.8451818885448916,0.5811369243421702,-0.0067885121859030395
2019,Oklahoma,3956971.0,3400,1600,28500,0,621500,15700,0,0,0,3228200,186900,62000,4147800,0.0008197116543709,0.7782921066589518,-0.08591073353123269,0.002195004080530305
2019,Oregon,4217737.0,18800,10400,102000,0,222400,12100,0,0,0,3125800,243500,80100,3815100,0.0049277869518492,0.8193232156431024,0.3725315004944225,-0.008864907167057123
2019,Pennsylvania,12801989.0,12000,11200,126300,0,931800,10500,0,0,0,8676900,234000,72900,10075600,0.0011909960697129,0.8611794831077058,0.4891917106672796,-0.005382938514446267
2019,Rhode Island,1059361.0,1100,1300,13100,0,57700,500,0,0,0,792000,13100,7800,886600,0.0012406947890818,0.8933002481389578,0.565756823821356,-0.003609293931874591
2019,South Carolina,5148714.0,3000,2600,46500,0,493800,13000,0,0,0,3954600,119000,59600,4692100,0.0006393725623921,0.842820911745274,0.47199548176737216,-0.006459578051430159
2019,South Dakota,884659.0,300,400,6600,0,137000,4500,0,0,0,683200,63200,20000,915200,0.0003277972027972,0.7465034965034965,0.5075393356647191,-0.0035787025338614997
2019,Tennessee,6829174.0,5700,3600,64300,0,611900,17400,0,0,0,5160900,172700,53000,6089500,0.0009360374414976,0.8475080055833812,0.42368894755799547,-0.006354906210321198
2019,Texas,28995881.0,38400,18100,244600,0,3200700,47300,0,100,0,19293900,1070200,178000,24091300,0.0015939364002772,0.8008658727424423,0.49455934511714283,-0.0030296599304340255
2019,Utah,3205958.0,8000,4400,45300,0,230100,9200,0,0,0,2291100,183300,36300,2807700,0.0028493072621718,0.8160059835452506,0.3763680490895027,-0.006178116208969686
2019,Vermont,623989.0,1700,2000,13300,0,59100,600,0,0,0,509000,19400,7400,612500,0.0027755102040816,0.8310204081632653,0.5497439703153841,-0.00620573463030083
2019,Virginia,8535519.0,15000,9800,151000,0,603200,13600,0,0,0,6750300,178400,52200,7773500,0.001929632726571,0.8683733196115007,0.49975343581834397,-0.005965885960502848
2019,Washington,7614893.0,40400,16100,193400,0,408800,19600,0,0,0,5612100,308700,100300,6699400,0.0060303907812639,0.8377018837507837,0.3267858127850536,-0.007469656458259255
2019,West Virginia,1792147.0,400,600,10900,0,177300,3100,0,0,0,1234300,56300,15400,1498300,0.000266969231796,0.8238003070146166,1.0225589000874717,-0.006825091352206325
2019,Wisconsin,5822434.0,4700,5300,76200,0,733700,10100,0,0,0,4519800,168800,45300,5563900,0.0008447312137169,0.8123438595229965,0.2584668638515508,-0.008414495225062879
2019,Wyoming,578759.0,200,200,4200,0,75100,3800,0,0,0,452800,75400,19100,630800,0.0003170577045022,0.7178186429930248,-0.011414077361862507,-0.005483879647966594
2020,Alabama,5031864.0,2900,2100,36300,0,567600,15100,0,0,0,3863500,154100,41600,4683200,0.0006192347113085,0.8249701059104886,0.42213443799110606,-0.004583316135220561
2020,Alaska,732964.0,900,400,6200,0,64000,2700,0,0,0,460900,39600,11400,586100,0.0015355741341068,0.7863845760109196,0.3216905939991568,0.0002041525154719004
2020,Arizona,7186683.0,28800,11200,115400,0,584800,13800,0,0,0,5202200,226000,103400,6285600,0.0045819014891179,0.827637775232277,0.460968660968637,-0.007884594832804015
2020,Arkansas,3014348.0,1300,1100,22400,0,392800,7200,0,0,0,2093700,111100,15700,2645300,0.0004914376441235,0.7914792273088118,0.416923936373615,-0.0025209096922603758
