year,state,county,zip_codes,population,ev_registrations,median_income
2018,FL,Miami-Dade County,"[33002, 33010, 33011, 33012, 33013, 33014, 33015, 33016, 33017, 33018, 33030, 33031, 33032, 33033, 33034, 33035, 33039, 33054, 33055, 33056, 33090, 33092, 33101, 33102, 33107, 33109, 33110, 33111, 33112, 33114, 33116, 33119, 33121, 33122, 33124, 33125, 33126, 33127, 33128, 33129, 33130, 33131, 33132, 33133, 33134, 33135, 33136, 33137, 33138, 33139, 33140, 33141, 33142, 33143, 33144, 33145, 33146, 33147, 33148, 33149, 33150, 33151, 33152, 33153, 33154, 33155, 33156, 33157, 33158, 33159, 33160, 33161, 33162, 33163, 33164, 33165, 33166, 33167, 33168, 33169, 33170, 33172, 33173, 33174, 33175, 33176, 33177, 33178, 33179, 33180, 33181, 33182, 33183, 33184, 33185, 33186, 33187, 33188, 33189, 33190, 33193, 33194, 33195, 33196, 33197, 33199, 33222, 33231, 33233, 33234, 33238, 33239, 33242, 33243, 33245, 33247, 33255, 33256, 33257, 33261, 33265, 33266, 33269, 33280, 33283, 33296, 33299]",2714854.0,9559.0,"48,982"
2018,FL,Monroe County,"[33001, 33036, 33037, 33040, 33041, 33042, 33043, 33045, 33050, 33051, 33052, 33070]",74757.0,317.0,"67,023"
2018,FL,Nassau County,"[32009, 32011, 32034, 32035, 32041, 32046, 32097]",85936.0,195.0,"66,297"
2018,FL,Okaloosa County,"[32531, 32536, 32537, 32539, 32540, 32541, 32542, 32544, 32547, 32548, 32549, 32564, 32567, 32569, 32578, 32579, 32580, 32588]",206934.0,407.0,"62,048"
2018,FL,Okeechobee County,"[34972, 34973, 34974]",41654.0,32.0,"40,367"
2018,FL,Orange County,"[32703, 32704, 32709, 32710, 32712, 32733, 32751, 32768, 32777, 32789, 32790, 32792, 32793, 32794, 32798, 32801, 32802, 32803, 32804, 32805, 32806, 32807, 32808, 32809, 32810, 32811, 32812, 32814, 32816, 32817, 32818, 32819, 32820, 32821, 32822, 32824, 32825, 32826, 32827, 32828, 32829, 32830, 32831, 32832, 32833, 32834, 32835, 32836, 32837, 32839, 32853, 32854, 32855, 32856, 32857, 32858, 32859, 32860, 32861, 32862, 32867, 32868, 32869, 32872, 32877, 32878, 32885, 32886, 32887, 32890, 32891, 32893, 32896, 32897, 32898, 34734, 34740, 34760, 34761, 34777, 34778, 34786, 34787]",1381540.0,5245.0,"54,335"
2018,FL,Osceola County,"[33848, 34739, 34741, 34742, 34743, 34744, 34745, 34746, 34747, 34758, 34769, 34770, 34771, 34772, 34773]",368456.0,678.0,"50,063"
2018,FL,Palm Beach County,"[33401, 33402, 33403, 33404, 33405, 33406, 33407, 33408, 33409, 33410, 33411, 33412, 33413, 33414, 33415, 33416, 33417, 33418, 33419, 33420, 33421, 33422, 33424, 33425, 33426, 33427, 33428, 33429, 33430, 33431, 33432, 33433, 33434, 33435, 33436, 33437, 33438, 33439, 33444, 33445, 33446, 33447, 33448, 33449, 33454, 33458, 33459, 33460, 33461, 33462, 33463, 33464, 33465, 33466, 33467, 33468, 33469, 33470, 33472, 33473, 33474, 33476, 33477, 33478, 33480, 33481, 33482, 33483, 33484, 33486, 33487, 33488, 33493, 33496, 33497, 33498, 33499]",1482876.0,7943.0,"59,943"
2018,FL,Pasco County,"[33523, 33524, 33525, 33526, 33537, 33539, 33540, 33541, 33542, 33543, 33544, 33545, 33574, 33576, 33593, 34610, 34637, 34638, 34639, 34652, 34653, 34654, 34655, 34656, 34667, 34668, 34669, 34673, 34674, 34679, 34680, 34690, 34691, 34692]",539090.0,1223.0,"50,417"
2018,FL,Pinellas County,"[33701, 33702, 33703, 33704, 33705, 33706, 33707, 33708, 33709, 33710, 33711, 33712, 33713, 33714, 33715, 33716, 33729, 33730, 33731, 33732, 33733, 33734, 33736, 33737, 33738, 33740, 33741, 33742, 33743, 33744, 33747, 33755, 33756, 33757, 33758, 33759, 33760, 33761, 33762, 33763, 33764, 33765, 33766, 33767, 33769, 33770, 33771, 33772, 33773, 33774, 33775, 33776, 33777, 33778, 33779, 33780, 33781, 33782, 33784, 33785, 33786, 34660, 34677, 34681, 34682, 34683, 34684, 34685, 34688, 34689, 34695, 34697, 34698]",973058.0,3508.0,"51,454"
