zip,population,city,county,state
90804,37299,Long Beach,Los Angeles County,Ca
92337,37292,Fontana,San Bernardino County,Ca
95993,37222,Yuba City,Sutter County,Ca
92883,37211,Corona,Riverside County,Ca
91752,37173,Mira Loma,Riverside County,Ca
93612,37138,Clovis,Fresno County,Ca
92054,37050,Oceanside,San Diego County,Ca
94603,37042,Oakland,Alameda County,Ca
95126,36996,San Jose,Santa Clara County,Ca
95401,36905,Santa Rosa,Sonoma County,Ca
92065,36836,Ramona,San Diego County,Ca
95340,36833,Merced,Merced County,Ca
93305,36783,Bakersfield,Kern County,Ca
91362,36770,Thousand Oaks,Ventura County,Ca
94520,36699,Concord,Contra Costa County,Ca
95121,36657,San Jose,Santa Clara County,Ca
92706,36548,Santa Ana,Orange County,Ca
91326,36503,Porter Ranch,Los Angeles County,Ca
92508,36500,Riverside,Riverside County,Ca
92831,36470,Fullerton,Orange County,Ca
92869,36429,Orange,Orange County,Ca
91001,36420,Altadena,Los Angeles County,Ca
94404,36397,San Mateo,San Mateo County,Ca
95476,36386,Sonoma,Sonoma County,Ca
95062,36369,Santa Cruz,Santa Cruz County,Ca
90277,36339,Redondo Beach,Los Angeles County,Ca
92551,36326,Moreno Valley,Riverside County,Ca
90810,36306,Long Beach,Los Angeles County,Ca
90505,36214,Torrance,Los Angeles County,Ca
90621,36151,Buena Park,Orange County,Ca
93012,36145,Camarillo,Ventura County,Ca
95901,36119,Marysville,Yuba County,Ca
92807,36117,Anaheim,Orange County,Ca
95667,36084,Placerville,El Dorado County,Ca
93657,36053,Sanger,Fresno County,Ca
95820,36024,Sacramento,Sacramento County,Ca
92660,35926,Newport Beach,Orange County,Ca
91104,35918,Pasadena,Los Angeles County,Ca
95348,35853,Merced,Merced County,Ca
90049,35819,Los Angeles,Los Angeles County,Ca
91205,35755,Glendale,Los Angeles County,Ca
92596,35726,Winchester,Riverside County,Ca
94040,35667,Mountain View,Santa Clara County,Ca
91601,35615,North Hollywood,Los Angeles County,Ca
91915,35608,Chula Vista,San Diego County,Ca
91780,35556,Temple City,Los Angeles County,Ca
91325,35537,Northridge,Los Angeles County,Ca
95660,35458,North Highlands,Sacramento County,Ca
91768,35443,Pomona,Los Angeles County,Ca
94401,35392,San Mateo,San Mateo County,Ca
92131,35227,San Diego,San Diego County,Ca
92649,35206,Huntington Beach,Orange County,Ca
94588,35162,Pleasanton,Alameda County,Ca
90266,35123,Manhattan Beach,Los Angeles County,Ca
95361,35107,Oakdale,Stanislaus County,Ca
92675,35099,San Juan Capistrano,Orange County,Ca
92694,35074,Ladera Ranch,Orange County,Ca
95377,35001,Tracy,San Joaquin County,Ca
94523,34964,Pleasant Hill,Contra Costa County,Ca
92139,34930,San Diego,San Diego County,Ca
94621,34911,Oakland,Alameda County,Ca
95834,34892,Sacramento,Sacramento County,Ca
92612,34868,Irvine,Orange County,Ca
91340,34822,San Fernando,Los Angeles County,Ca
94063,34807,Redwood City,San Mateo County,Ca
95842,34775,Sacramento,Sacramento County,Ca
96001,34721,Redding,Shasta County,Ca
92595,34698,Wildomar,Riverside County,Ca
90029,34649,Los Angeles,Los Angeles County,Ca
96002,34634,Redding,Shasta County,Ca
95341,34541,Merced,Merced County,Ca
91722,34470,Covina,Los Angeles County,Ca
93060,34337,Santa Paula,Ventura County,Ca
91321,34305,Newhall,Los Angeles County,Ca
92103,34296,San Diego,San Diego County,Ca
92311,34226,Barstow,San Bernardino County,Ca
92841,34188,Garden Grove,Orange County,Ca
95482,34183,Ukiah,Mendocino County,Ca
93314,34156,Bakersfield,Kern County,Ca
94608,34083,Emeryville,Alameda County,Ca
94102,34077,San Francisco,San Francisco County,Ca
91773,34066,San Dimas,Los Angeles County,Ca
92373,33946,Redlands,San Bernardino County,Ca
91754,33937,Monterey Park,Los Angeles County,Ca
91791,33902,West Covina,Los Angeles County,Ca
94114,33858,San Francisco,San Francisco County,Ca
92583,33781,San Jacinto,Riverside County,Ca
93422,33781,Atascadero,San Luis Obispo County,Ca
94545,33700,Hayward,Alameda County,Ca
95128,33653,San Jose,Santa Clara County,Ca
91941,33602,La Mesa,San Diego County,Ca
92203,33558,Indio,Riverside County,Ca
90062,33528,Los Angeles,Los Angeles County,Ca
94952,33519,Petaluma,Marin County,Ca
93555,33490,Ridgecrest,Kern County,Ca
91750,33436,La Verne,Los Angeles County,Ca
94526,33396,Danville,Contra Costa County,Ca
91007,33367,Arcadia,Los Angeles County,Ca
94115,33299,San Francisco,San Francisco County,Ca
90260,33282,Lawndale,Los Angeles County,Ca
90807,33153,Long Beach,Los Angeles County,Ca
90008,33076,Los Angeles,Los Angeles County,Ca
91354,33039,Valencia,Los Angeles County,Ca
95356,33033,Modesto,Stanislaus County,Ca
90222,33021,Compton,Los Angeles County,Ca
