zip,population,city,county,state
34475,15084,Ocala,Marion County,Fl
32011,15006,Callahan,Nassau County,Fl
33412,15001,West Palm Beach,Palm Beach County,Fl
33616,14918,Tampa,Hillsborough County,Fl
33478,14845,Jupiter,Palm Beach County,Fl
32413,14820,Panama City Beach,Bay County,Fl
34239,14812,Sarasota,Sarasota County,Fl
32801,14778,Orlando,Orange County,Fl
34235,14760,Sarasota,Sarasota County,Fl
33812,14736,Lakeland,Polk County,Fl
32407,14710,Panama City Beach,Bay County,Fl
32656,14702,Keystone Heights,Clay County,Fl
33149,14639,Key Biscayne,Miami-Dade County,Fl
33469,14639,Jupiter,Martin County,Fl
32903,14604,Indialantic,Brevard County,Fl
33973,14585,Lehigh Acres,Lee County,Fl
33765,14578,Clearwater,Pinellas County,Fl
32439,14572,Freeport,Walton County,Fl
34669,14563,Hudson,Pasco County,Fl
33154,14557,Miami Beach,Miami-Dade County,Fl
32317,14515,Tallahassee,Leon County,Fl
34987,14507,Port Saint Lucie,St. Lucie County,Fl
33170,14477,Miami,Miami-Dade County,Fl
34288,14412,North Port,Sarasota County,Fl
32310,14407,Tallahassee,Leon County,Fl
34240,14400,Sarasota,Sarasota County,Fl
32254,14338,Jacksonville,Duval County,Fl
33981,14330,Port Charlotte,Charlotte County,Fl
32063,14289,Macclenny,Baker County,Fl
32908,14172,Palm Bay,Brevard County,Fl
32219,14145,Jacksonville,Duval County,Fl
34222,13975,Ellenton,Manatee County,Fl
32425,13970,Bonifay,Holmes County,Fl
32696,13915,Williston,Levy County,Fl
32176,13882,Ormond Beach,Volusia County,Fl
32816,13835,Orlando,Orange County,Fl
32931,13762,Cocoa Beach,Brevard County,Fl
33403,13698,West Palm Beach,Palm Beach County,Fl
34604,13689,Brooksville,Hernando County,Fl
33873,13678,Wauchula,Hardee County,Fl
33815,13644,Lakeland,Polk County,Fl
33330,13619,Fort Lauderdale,Broward County,Fl
34452,13592,Inverness,Citrus County,Fl
33019,13503,Hollywood,Broward County,Fl
34479,13502,Ocala,Marion County,Fl
33868,13404,Polk City,Polk County,Fl
34236,13347,Sarasota,Sarasota County,Fl
33776,13304,Seminole,Pinellas County,Fl
33037,13265,Key Largo,Monroe County,Fl
33315,13253,Fort Lauderdale,Broward County,Fl
33182,13163,Miami,Miami-Dade County,Fl
33980,13071,Punta Gorda,Charlotte County,Fl
34432,13029,Dunnellon,Marion County,Fl
34947,12992,Fort Pierce,St. Lucie County,Fl
32569,12936,Mary Esther,Okaloosa County,Fl
33513,12882,Bushnell,Sumter County,Fl
32348,12827,Perry,Taylor County,Fl
33872,12696,Sebring,Highlands County,Fl
33483,12639,Delray Beach,Palm Beach County,Fl
33305,12633,Fort Lauderdale,Broward County,Fl
32054,12598,Lake Butler,Union County,Fl
33567,12499,Plant City,Hillsborough County,Fl
34461,12424,Lecanto,Citrus County,Fl
32344,12335,Monticello,Jefferson County,Fl
33853,12241,Lake Wales,Polk County,Fl
32220,12078,Jacksonville,Duval County,Fl
32736,11925,Eustis,Lake County,Fl
34731,11911,Fruitland Park,Lake County,Fl
34690,11876,Holiday,Pasco County,Fl
33332,11809,Fort Lauderdale,Broward County,Fl
32333,11688,Havana,Gadsden County,Fl
34488,11687,Silver Springs,Marion County,Fl
32776,11681,Sorrento,Lake County,Fl
32643,11590,High Springs,Alachua County,Fl
33477,11524,Jupiter,Palm Beach County,Fl
32951,11516,Melbourne Beach,Brevard County,Fl
32693,11426,Trenton,Gilchrist County,Fl
32754,11399,Mims,Brevard County,Fl
33316,11304,Fort Lauderdale,Broward County,Fl
33592,11275,Thonotosassa,Hillsborough County,Fl
33966,11236,Fort Myers,Lee County,Fl
34103,11214,Naples,Collier County,Fl
33875,11129,Sebring,Highlands County,Fl
33473,11107,Boynton Beach,Palm Beach County,Fl
33859,11081,Lake Wales,Polk County,Fl
33982,11067,Punta Gorda,Charlotte County,Fl
